库容,水位
77.487,123.1
77.813,123.2
78.141,123.3
78.471,123.4
78.803,123.5
79.136,123.6
79.471,123.7
79.808,123.8
80.147,123.9
80.487,124
80.829,124.1
81.174,124.2
81.52,124.3
81.868,124.4
82.218,124.5
82.57,124.6
82.925,124.7
83.281,124.8
83.639,124.9
84,125
84.362,125.1
84.726,125.2
85.091,125.3
85.457,125.4
85.824,125.5
86.193,125.6
86.933,125.8
87.305,125.9
87.678,126
88.052,126.1
88.427,126.2
88.804,126.3
89.559,126.5
89.939,126.6
90.7,126.8
91.083,126.9
91.85,127.1
92.235,127.2
92.621,127.3
93.395,127.5
94.172,127.7
94.562,127.8
94.953,127.9
95.737,128.1
96.917,128.4
97.312,128.5
97.708,128.6
98.898,128.9
99.295,129
99.694,129.1
100.892,129.4
101.693,129.6
102.496,129.8
103.703,130.1
104.105,130.2
104.508,130.3
105.313,130.5
105.716,130.6
106.12,130.7
106.523,130.8
106.927,130.9
108.14,131.2
109.356,131.5
110.575,131.8
110.983,131.9
112.208,132.2
112.618,132.3
113.439,132.5
113.851,132.6
114.676,132.8
115.09,132.9
115.505,133
116.337,133.2
117.172,133.4
117.591,133.5
118.431,133.7
118.853,133.8
119.276,133.9
120.124,134.1
120.55,134.2
120.977,134.3
121.406,134.4
122.265,134.6
122.697,134.7
123.13,134.8
123.564,134.9
124,135
124.437,135.1
125.313,135.3
125.753,135.4
126.194,135.5
126.636,135.6
127.079,135.7
127.523,135.8
128.413,136
128.86,136.1
129.308,136.2
129.757,136.3
130.657,136.5
131.109,136.6
131.562,136.7
132.47,136.9
133.382,137.1
134.297,137.3
134.756,137.4
135.217,137.5
136.602,137.8
137.066,137.9
137.531,138
138.462,138.2
138.93,138.3
139.867,138.5
140.807,138.7
141.751,138.9
142.698,139.1
143.173,139.2
144.125,139.4
145.08,139.6
145.559,139.7
146.519,139.9
147.482,140.1
148.447,140.3
149.414,140.5
150.383,140.7
151.354,140.9
152.813,141.2
153.301,141.3
153.788,141.4
154.276,141.5
154.765,141.6
155.253,141.7
155.742,141.8
156.232,141.9
156.721,142
157.211,142.1
158.192,142.3
160.157,142.7
160.648,142.8
161.14,142.9
162.125,143.1
162.617,143.2
163.11,143.3
165.578,143.8
166.069,143.9
166.562,144
167.056,144.1
168.043,144.3
168.537,144.4
170.512,144.8
171.006,144.9
174.465,145.6
174.959,145.7
175.455,145.8
175.95,145.9
176.446,146
177.935,146.3
178.93,146.5
179.429,146.6
179.927,146.7
180.427,146.8
181.428,147
182.431,147.2
182.934,147.3
183.438,147.4
184.447,147.6
184.954,147.7
185.46,147.8
185.968,147.9
186.477,148
186.987,148.1
187.498,148.2
188.01,148.3
188.523,148.4
189.037,148.5
189.552,148.6
190.068,148.7
190.586,148.8
191.624,149
192.146,149.1
193.192,149.3
193.718,149.4
194.772,149.6
195.302,149.7
195.833,149.8
196.366,149.9
196.9,150
197.438,150.1
197.981,150.2
198.53,150.3
199.084,150.4
199.643,150.5
200.207,150.6
200.775,150.7
201.349,150.8
201.927,150.9
202.51,151
203.097,151.1
203.688,151.2
204.283,151.3
204.882,151.4
205.485,151.5
206.092,151.6
206.702,151.7
207.316,151.8
207.933,151.9
208.553,152
209.177,152.1
209.803,152.2
210.432,152.3
211.063,152.4
211.698,152.5
212.334,152.6
212.973,152.7
213.614,152.8
214.257,152.9
214.902,153
215.549,153.1
216.197,153.2
216.847,153.3
217.498,153.4
218.15,153.5
218.804,153.6
219.459,153.7
220.77,153.9
221.427,154
222.742,154.2
225.373,154.6
226.031,154.7
226.688,154.8
227.344,154.9
229.97,155.3
231.287,155.5
231.948,155.6
232.608,155.7
233.27,155.8
233.933,155.9
234.597,156
235.927,156.2
237.261,156.4
238.598,156.6
239.268,156.7
239.94,156.8
241.285,157
241.96,157.1
243.311,157.3
243.989,157.4
245.347,157.6
246.709,157.8
247.392,157.9
248.076,158
248.761,158.1
249.447,158.2
250.134,158.3
250.822,158.4
251.512,158.5
252.203,158.6
253.588,158.8
254.977,159
255.674,159.1
256.372,159.2
257.071,159.3
257.771,159.4
258.473,159.5
259.176,159.6
259.88,159.7
260.585,159.8
261.292,159.9
262,160
262.71,160.1
263.422,160.2
264.137,160.3
264.854,160.4
265.573,160.5
266.295,160.6
267.019,160.7
267.746,160.8
268.475,160.9
269.206,161
269.939,161.1
270.675,161.2
271.413,161.3
272.153,161.4
272.896,161.5
273.64,161.6
274.387,161.7
275.136,161.8
275.888,161.9
276.641,162
277.397,162.1
278.155,162.2
278.915,162.3
279.677,162.4
280.441,162.5
281.208,162.6
281.976,162.7
282.747,162.8
283.519,162.9
284.294,163
285.071,163.1
285.85,163.2
286.63,163.3
287.413,163.4
288.198,163.5
288.985,163.6
289.773,163.7
290.564,163.8
291.357,163.9
292.151,164
292.948,164.1
293.746,164.2
294.546,164.3
295.348,164.4
296.152,164.5
296.958,164.6
