旬,乌东德_入库流量(m³/s),乌东德_出库流量(m³/s),乌东德-白鹤滩区间来水(m³/s),白鹤滩_出库流量(m³/s),白鹤滩-溪洛渡区间来水(m³/s),溪洛渡_出库流量(m³/s),溪洛渡-向家坝区间来水(m³/s),向家坝_出库流量(m³/s),向家坝-三峡区间来水(m³/s),三峡_出库流量(m³/s),三峡-葛洲坝区间来水(m³/s),葛洲坝_出库流量(m³/s)
1,1280,1429.5,88.94,1643.67,390,2110.75,161.7077465,2315.89,2640,5541.67,622,6205.92
2,1185,1255,81.96,1336.96,354,1690.96,149.0228873,1826.52,2434,5023.48,652,5675.48
3,1081,1211,82.02,1585.39,319,1904.39,149.1197183,2045.28,2090,5008.93,538.18,5547.11
4,1071,1208.81,72.22,1545.44,285,1830.44,131.3028169,1952.83,1956,5060.7,466,5526.7
5,1035,1204.63,70.51,1618.84,289,1953.4,128.2042254,2074.92,2016,5067.96,369,5504.9
6,1000,1175.42,54.64,1446.73,283,1892.09,99.34859155,1999.77,2330,5000.99,616.25,5549.3
7,1030,1181.27,71.63,1444.6,315,1934.87,130.2376761,2046.61,4259,5029.11,2234,7263.11
8,1006,1281.63,70.57,1487.72,319,1624.47,128.3010563,1731.37,3880,5109.93,1390,6499.93
9,1064,1695.01,81.96,2223.49,335,2357.55,149.0228873,2476.75,4554,5019.83,1434.55,6454.38
10,1057,1820.44,70.73,2624.42,271,2895.42,128.5915493,3003.88,4304,8631.98,1465,10096.98
11,1270,1464.13,79.94,2619.55,231,2932.05,145.3433099,3041.76,3514,11998.19,797,12795.19
12,1934,1872.44,121.16,3077.52,341,3337.02,220.290493,3453.7,9868,11065.63,3181,14246.63
13,1747,1427.59,118.07,1469.04,470,4753.62,214.6742958,4872.24,8154,12954.59,3463,16417.59
14,2012,2795.65,115.73,3983.23,161,4144.23,210.4137324,4263.62,6531,11426.29,2851,14277.29
15,2561,2089.64,170.53,3263.64,350,4087.09,310.0528169,4233.98,7413,24441.18,1839.09,26280.27
16,3879,2255.18,252.44,3498.42,861,5003.56,458.9788732,5842.95,8240,18888.91,2341,21229.91
17,4222,4455.91,261.81,5636.7,694,6928.61,476.0211268,7363.81,8394,15757.81,2483,18240.81
18,3750,5954.03,233.21,6049.4,629,7454.1,424.0228873,7601.96,14441,22042.96,-7640,14402.96
19,7903,5510.8,373.86,5425.17,-883,4311.49,679.7535211,4998.9,32420,34128.97,4030,38158.97
20,11322,2789.06,658.79,2486.62,1048,2941.33,1197.799296,3771.95,27830,27762.37,2250,30012.37
21,5835,5584.63,414.61,4995.76,1242,5617.97,753.8292254,7190.57,18159,21157.67,6636.36,27794.03
22,6192,6915.61,390.32,6262.23,1137,6752.13,709.6742958,8291.84,12641,22995.11,1110,24105.11
23,8078,8194.13,537.52,7647.74,2015,8990.86,977.3151408,9365.87,18287,28132.4,770,28902.4
24,9257,5561,670.56,5106.27,2189,6599.9,1219.198944,7110.55,26254,28981.77,4963.64,33945.41
25,7558,4832,469.14,4134.47,1251,4665.57,852.9841549,5499.47,16771,22270.47,6020,28290.47
26,4899,4010,310.86,3111.37,938,3304,565.2024648,4463.94,8033,12496.94,2510,15006.94
27,5435,4479,371.04,4349.11,1532,5498.71,674.6214789,6369.7,8273,12826.03,1170,13996.03
28,4727,3734,306.81,4040.81,1034,5074.81,557.8433099,5685.91,12039,14472.13,1000,15472.13
29,4601,4084,312.09,4396.09,1259,5655.09,567.4295775,6219.61,13490,14622.92,1230,15852.92
30,3593,3861,304.47,4165.47,1604,5769.47,553.5827465,6271.44,14058,20329.44,4581.82,24911.26
31,2647,3172,198.44,3370.44,1079,4449.44,360.7922535,4808.68,12174,16982.68,5236,22218.68
32,2241,2392,165.74,2557.74,871,3428.74,301.3380282,3719.81,8188,11907.81,3181,15088.81
33,1882,1956,139.85,2095.85,744,2839.85,254.278169,3083.09,10728,13811.09,3606,17417.09
34,1639,1727,120.68,1847.68,627,2474.68,219.4190141,2687.61,5770,8457.61,1801,10258.61
35,1432,1602,106.89,1708.89,575,2283.89,194.3397887,2474.26,4756,7230.26,2066,9296.26
36,1270,1380,103.64,1483.64,499,1982.64,188.4330986,2176.79,4396,6572.79,1892.73,8465.52
