旬,乌东德_入库流量(m³/s),乌东德_出库流量(m³/s),乌东德-白鹤滩区间来水(m³/s),白鹤滩_出库流量(m³/s),白鹤滩-溪洛渡区间来水(m³/s),溪洛渡_出库流量(m³/s),溪洛渡-向家坝区间来水(m³/s),向家坝_出库流量(m³/s),向家坝-三峡区间来水(m³/s),三峡_出库流量(m³/s),三峡-葛洲坝区间来水(m³/s),葛洲坝_出库流量(m³/s)
1,1145,1218.5,85.26,1428.99,456,1962.07,155.0264085,2172.25,3247,6005.03,1038,7085.27
2,1082,1082,79.35,1161.35,408,1569.35,144.278169,1713.63,3085,5023.03,957,5980.03
3,1060,1060,83.61,1408.14,367,1775.14,152.0246479,1927.17,3056,5034.69,1050.91,6085.6
4,1039,1039,76.9,1381.16,405,1786.16,139.8239437,1925.99,2548,5003.74,747,5750.74
5,986,1031.93,72.16,1394.18,369,1763.18,131.2059859,1894.39,2811,5038.86,1056,6094.86
6,962,1187.75,55.01,1483.74,329,1978.52,100.0264085,2078.55,2442,5000.67,865,5865.67
7,947,1186.63,67.05,1511.54,312,1755.25,121.9102113,1877.16,2322,5004.18,745,5749.18
8,913,1378.3,63.91,1581.72,287,1771.24,116.1971831,1887.44,2524,5157.32,981,6138.32
9,900,1520.29,67.8,2062.24,257,2319.24,123.2658451,2442.5,3050,5147.11,1467.27,6614.38
10,958,1329.67,66.25,2562.59,286,3193.24,120.4577465,3313.69,3269,5007.55,1659,6666.55
11,1089,1205.41,73.71,2172.99,295,3135.5,134.0140845,3269.52,4203,10683.02,1747,12430.02
12,1357,1293.59,83.93,1833.68,219,2776.5,152.6056338,2929.11,4753,11692.7,2545,14237.7
13,1653,1301.3,103.21,1526.84,285,2890.44,187.6584507,3078.1,9563,9257.07,5005,14262.07
14,1563,2664.7,99.64,3846.24,308,4175.24,181.1707746,4356.41,7695,12051.41,2177,14228.41
15,2191,2685.83,136.44,3825.74,138,4438.36,248.0809859,4686.44,8196,26308.31,3540,29848.31
16,3395,3556.27,182.35,4739.98,29,5412.22,331.5492958,6278.73,17716,28800.69,9090,37890.69
17,4723,4723,267.78,5909.76,305,6830.61,486.8661972,7673.79,8132,15805.79,1873,17678.79
18,7596,7144.76,443.21,8024.3,726,9486.79,805.8274648,9929.82,15018,24947.82,1230,26177.82
19,9908,9432.16,608.51,9121.87,1518,10409.2,1106.390845,10987.12,24994,32691.19,4010,36701.19
20,7385,6464.44,440.01,5943.22,877,6226.94,800.0176056,7061.42,26478,29699.84,10750,40449.84
21,8037,8957.56,493.96,8448.05,395,8223.26,898.1073944,9621.85,18404,28518.5,-1572.73,26945.77
22,13738,12588.29,747.73,12292.33,302,11947.22,1359.507042,13663.04,17340,28692.85,6180,34872.85
23,17914,16563.13,1044.9,16524.12,1706,17558.24,1899.823944,19021.12,17030,31835.78,1240,33075.78
24,13540,13540,926.14,13340.85,2269,14914.48,1683.890845,16144.06,28964,45108.06,3809.09,48917.15
25,11611,11611,652.93,11097.26,649,11026.36,1187.147887,12213.5,19410,31623.5,5750,37373.5
26,10055,10055,577.84,9423.35,795,9472.98,1050.616197,10523.6,9780,20303.6,2660,22963.6
27,8534,8534,525.38,8558.45,1331,9507.05,955.2376761,10565.13,11315,16810.69,1440,18250.69
28,6138,6138,376.95,6514.95,940,7454.95,685.3697183,8037.47,13862,21899.47,3630,25529.47
29,4433,4433,281.3,4714.3,849,5563.3,511.4612676,6074.76,11368,12356.07,3520,15876.07
30,3635,3635,261.55,3896.55,830,4726.55,475.5369718,5202.09,7317,12519.09,1710.91,14230
31,3212,3212,224.43,3436.43,1002,4438.43,408.0457746,4846.48,11636,16482.48,4531,21013.48
32,2554,2554,174.74,2728.74,727,3455.74,317.7024648,3773.44,5810,9583.44,2007,11590.44
33,2229,2229,151.78,2380.78,621,3001.78,275.9683099,3277.75,5186,8463.75,1337,9800.75
34,1955,1955,133.09,2088.09,544,2632.09,241.9806338,2874.07,4262,7136.07,1343,8479.07
35,1748,1748,118.55,1866.55,478,2344.55,215.5457746,2560.1,3841,6401.1,1417,7818.1
36,1541,1541,115.3,1656.3,427,2083.3,209.6390845,2292.94,3434,5726.94,1331.82,7058.76
