旬,乌东德_入库流量(m³/s),乌东德_出库流量(m³/s),乌东德-白鹤滩区间来水(m³/s),白鹤滩_出库流量(m³/s),白鹤滩-溪洛渡区间来水(m³/s),溪洛渡_出库流量(m³/s),溪洛渡-向家坝区间来水(m³/s),向家坝_出库流量(m³/s),向家坝-三峡区间来水(m³/s),三峡_出库流量(m³/s),三峡-葛洲坝区间来水(m³/s),葛洲坝_出库流量(m³/s)
1,1353,1426.5,91.23,1642.96,360,2080.04,165.8714789,2301.06,3410,6296.84,1257,9749.09
2,1309,1309,86.12,1395.12,308,1703.12,156.5757042,1859.7,3561,5420.7,1423,8981.7
3,1219,1219,89.84,1361.45,315,1676.45,163.3538732,1839.8,3163,5002.8,1280,8165.8
4,1148,1148,77.49,1568.42,307,1875.42,140.8890845,2016.31,2694,5004.01,931,7698.01
5,1085,1085,73.97,1336.29,304,1709.95,134.4982394,1844.44,2918,5002.28,1077,7920.28
6,1104,1216.94,65.93,1574.93,272,1820.87,119.8767606,1940.75,2847,5025.51,1042.5,7872.51
7,1071,1313.01,72.8,1622.18,296,1874.59,132.3679577,2006.96,3189,5055.13,1254,8244.13
8,1059,1370.54,71.47,2046.36,283,2329.36,129.9471831,2459.31,3482,5310.83,1361,8792.83
9,1091,1564.87,77.92,1956.86,239,2552.52,141.6637324,2694.18,4197,8381.57,1768.18,12578.57
10,1208,1222.46,72.54,2257.01,154,2349.34,131.8838028,2481.22,3796,10446.66,931,14242.66
11,1484,2177.72,86.7,2567.86,144,2416.87,157.6408451,2574.51,6055,8201.54,2465,14256.54
12,1642,2299.58,98.21,3494.13,202,3696.13,178.556338,3874.69,11546,10188.83,4192,21734.83
13,1771,1188.1,103.32,2375.33,169,5358.91,187.8521127,5546.77,12440,23073.46,6510,35513.46
14,2206,2328.08,132.18,3475.81,276,3751.81,240.334507,3992.15,13428,20820.7,7473,34248.7
15,1881,2339.78,123.77,3467.02,232,4173.7,225.0352113,4398.73,13587,28011.05,6306.36,41598.05
16,2666,3141.17,149.49,4222.33,141,4992.75,271.8045775,5652.36,12953,23411.32,4970,36364.32
17,3815,4263.41,229.01,5411.41,485,6513.76,416.3732394,7433.59,11240,18673.59,3070,29913.59
18,6619,6187.88,409.39,6262.23,1068,8099.99,744.3397887,8481.53,22793,31274.53,9640,54067.53
19,6754,6258.04,458.6,5811.25,1857,7437.58,833.8116197,7742.93,27359,31812,16990,59171
20,6104,6018.43,364.65,5421.86,743,5571.57,663.0017606,6769.53,16613,19542.94,2960,36155.94
21,8138,7308.88,511.8,6817.21,598,6795.42,930.5457746,7220.31,20828,23856.41,927.27,44684.41
22,10961,9650.71,675.3,9282.32,1719,10354.21,1227.816901,12115.26,11690,23182.52,2710,34872.52
23,8910,8634.39,573.58,8124.06,1860,9312.19,1042.869718,10683.79,17060,27066.77,4000,44126.77
24,7541,8891.87,538.8,8305.38,1656,9266.01,979.6390845,9889.34,15612,27247.04,2872.73,42859.04
25,8524,9673.71,521.17,9028.21,1262,9570.31,947.5880282,9982.94,19504,27200.02,1720,46704.02
26,11835,10685.29,718.44,10194.24,1655,11103.87,1306.25,12410.12,31360,43770.12,-350,75130.12
27,10116,8765.13,652.4,8916.61,2134,10668.2,1186.179577,11854.38,27570,34354.93,7130,61924.93
28,9981,9981,615.44,10596.44,1575,12171.44,1118.978873,13290.42,22284,35574.42,4140,57858.42
29,6936,6936,476.17,7412.17,2005,9417.17,865.7658451,10282.94,18579,23775.25,8880,42354.25
30,4490,4490,326.52,4816.52,1084,5900.52,593.6707746,6494.19,13662,20156.19,6036.36,33818.19
31,3429,3429,227.73,3656.73,847,4503.73,414.0492958,4917.78,12064,16981.78,4590,29045.78
32,2795,2795,184.7,2979.7,673,3652.7,335.8098592,3988.51,8266,12254.51,4108,20520.51
33,2354,2354,156.63,2510.63,587,3097.63,284.7799296,3382.41,5544,8926.41,1970,14470.41
34,2009,2009,134.85,2143.85,523,2666.85,245.1760563,2912.03,4539,7451.03,1570,11990.03
35,1770,1770,119.93,1889.93,482,2371.93,218.0633803,2589.99,3949,6538.99,1276,10487.99
36,1567,1567,117.06,1684.06,431,2115.06,212.834507,2327.89,3337,5664.89,1165.45,9001.89
