旬,乌东德_入库流量(m³/s),乌东德_出库流量(m³/s),乌东德-白鹤滩区间来水(m³/s),白鹤滩_出库流量(m³/s),白鹤滩-溪洛渡区间来水(m³/s),溪洛渡_出库流量(m³/s),溪洛渡-向家坝区间来水(m³/s),向家坝_出库流量(m³/s),向家坝-三峡区间来水(m³/s),三峡_出库流量(m³/s),三峡-葛洲坝区间来水(m³/s),葛洲坝_出库流量(m³/s)
1,1356,1356,84.09,1440.09,223,1663.09,152.8961268,1815.99,2797,6000,704,6704
2,1255,1255,78.34,1447.1,216,1663.1,142.4383803,1805.54,2485,6212.1,627,6839.1
3,1211,1399.4,82.81,1742.95,203,1945.95,150.5721831,2096.52,2217,6053.74,619.09,6672.83
4,1160,1135.86,72.75,1367.34,206,1573.34,132.2711268,1705.61,2264,6088.85,728,6816.85
5,1101,992.31,68.97,1416.57,194,1610.57,125.3961268,1735.97,2423,6139.46,678,6817.46
6,1108,1240.31,55.81,1472.93,202,1674.93,101.4788732,1776.41,2780,6245.91,813.75,7059.66
7,1133,1240.99,76,1481.85,294,1775.85,138.1778169,1914.03,3644,6000.26,1650,7650.26
8,1075,1230.83,72.43,1351.44,285,1636.44,131.6901408,1768.13,3410,6248.83,1149,7397.83
9,1125,1536.82,77.12,1545.81,191,1736.81,140.2112676,1877.03,4661,6271.64,1890,8161.64
10,1195,2227.46,72.48,2295.99,166,2461.99,131.7869718,2593.78,7051,6207.27,3414,9621.27
11,1265,2102.15,73.12,4069.75,108,4177.75,132.9489437,4310.7,5702,6227.43,3317,9544.43
12,1468,1501.65,84.25,3779.23,114,4451.02,153.1866197,4604.2,2877,10580.6,860,11440.6
13,1792,1447.55,120.15,2919.91,464,5640.71,218.4507042,5859.16,4294,14672.91,-429,14243.91
14,1730,2283.89,110.77,3272.7,350,3622.7,201.4084507,3824.11,11210,9776.06,5395,15171.06
15,1637,1893.59,109.34,3505.61,229,3734.61,198.7940141,3933.4,12241,27464.06,6242.73,33706.79
16,2616,2810.84,160.25,4126.58,393,4519.58,291.3644366,4985.2,9571,19362.16,3884,23246.16
17,4167,4167,243.44,4622.39,404,6217.88,442.6144366,7350.87,13099,20449.87,3520,23969.87
18,6543,5882.12,424.62,4692.59,1430,7422.31,772.0334507,7329.71,13837,21166.71,4380,25546.71
19,5777,5510.8,428.61,5253.76,2271,7294.09,779.2957746,8073.38,24042,24985.87,12690,37675.87
20,3786,3000.58,260.32,1421.63,1102,1310.56,473.3098592,1783.87,10062,10162.89,1830,11992.89
21,5189,5611.72,343.29,3837.46,671,3189.48,624.1725352,4704.91,14885,15240.02,-818.18,14421.84
22,7464,7467.02,500.83,6123.73,1940,6765,910.5985915,7622.35,14426,27483.33,760,28243.33
23,9545,7404.11,640.36,5750.72,2479,6985.4,1164.295775,7311.68,25856,27732.7,860,28592.7
24,5561,5561,391.44,5952.44,1121,7073.44,711.7077465,7785.15,15027,22812.15,3900,26712.15
25,4832,4832,305.75,5137.75,909,6046.75,555.9066901,6602.66,7149,13751.66,583,14334.66
26,4010,4010,275.18,4285.18,1157,5442.18,500.3257042,5942.51,7953,13895.51,1610,15505.51
27,4479,4479,302.87,4781.87,1208,5989.87,550.6778169,6540.55,9233,11709.59,2140,13849.59
28,3734,3734,250.63,3984.63,972,4956.63,455.6866197,5412.32,7844,12250.83,2602,14852.83
29,4084,4550.24,261.97,4812.21,835,5647.21,476.3116197,6123.52,6856,8007.78,1431,9438.78
30,3861,3394.76,291.96,3686.72,1123,4809.72,530.8274648,5340.55,6589,11814.6,1646.36,13460.96
31,3172,3172,219.47,3391.47,949,4340.47,399.040493,4739.51,6589,11328.51,2466,13794.51
32,2392,2392,159.5,2551.5,603,3154.5,290.0088028,3444.51,6015,9459.51,2128,11587.51
33,1956,1956,130.8,2086.8,500,2586.8,237.8169014,2824.62,4645,7469.62,1472,8941.62
34,1727,1727,109.18,1836.18,323,2159.18,198.5035211,2357.68,4775,7132.68,1959,9091.68
35,1602,1801.82,97.62,1899.44,231,2130.44,177.4911972,2337.23,3498,6000,1223,7223
36,1380,1180.18,96.77,1276.95,272,1548.95,175.9419014,1700,3027,6010.89,907.27,6918.16
