旬,乌东德_入库流量(m³/s),乌东德_出库流量(m³/s),乌东德_水位(m),乌东德_出力(MW),乌东德_发电量(万kWh),乌东德_发电流量(m³/s),乌东德_弃水流量(m³/s),乌东德-白鹤滩区间来水(m³/s),白鹤滩_入库流量(m³/s),白鹤滩_出库流量(m³/s),白鹤滩_水位(m),白鹤滩_出力(MW),白鹤滩_发电量(万kWh),白鹤滩_发电流量(m³/s),白鹤滩_弃水流量(m³/s),白鹤滩-溪洛渡区间来水(m³/s),溪洛渡_入库流量(m³/s),溪洛渡_出库流量(m³/s),溪洛渡_水位(m),溪洛渡_出力(MW),溪洛渡_发电量(万kWh),溪洛渡_发电流量(m³/s),溪洛渡_弃水流量(m³/s),溪洛渡-向家坝区间来水(m³/s),向家坝_入库流量(m³/s),向家坝_出库流量(m³/s),向家坝_水位(m),向家坝_出力(MW),向家坝_发电量(万kWh),向家坝_发电流量(m³/s),向家坝_弃水流量(m³/s),向家坝-三峡区间来水(m³/s),三峡_入库流量(m³/s),三峡_出库流量(m³/s),三峡_水位(m),三峡_出力(MW),三峡_发电量(万kWh),三峡_发电流量(m³/s),三峡_弃水流量(m³/s),三峡-葛洲坝区间来水(m³/s),葛洲坝_出库流量(m³/s),葛洲坝_水位(m),葛洲坝_出力(MW),葛洲坝_发电量(万kWh),葛洲坝_发电流量(m³/s),葛洲坝_弃水流量(m³/s)
11,2410,3684.71,965.11,4653.09,113237.68,3684.71,0,30,3714.71,4029.97,807.05,7481.35,182066.18,4029.97,0,270,4299.97,3916.68,599.5,7381.02,179624.52,3916.68,0.0,-40,3876.68,3683.54,377.17,3355.14,81650.63,3683.54,0.0,9290,12973.54,13445.09,171.38,12303.2,299410.75,13445.09,0,800.0,14245.09,66.5,2714.93,66070.42,14245.09,0.0
12,2340,1174.46,973.76,1539.27,37459.62,1174.46,0,70,1244.46,1764.51,804.65,3324.5,80905.0,1764.51,0,310,2074.51,2074.51,599.5,3993.89,97195.4,2074.51,0.0,-100,1974.51,1721.26,379.5,1638.17,39866.47,1721.26,0.0,9560,11281.26,12882.74,169.92,11693.16,284564.7,12882.74,0,500.0,13382.74,66.5,2591.22,63059.81,13382.74,0.0
13,2730,3282.29,970.0,4224.0,102795.37,3282.29,0,90,3372.29,1410.51,813.44,2708.8,65921.24,1410.51,0,260,1670.51,4486.18,579.99,8093.77,196969.87,4486.18,0.0,-10,4476.18,4495.02,379.33,4181.87,101769.95,4495.02,0.0,10070,14565.02,14483.05,170.0,13037.4,317278.11,14483.05,0,1300.0,15785.3,66.47,2715.0,66072.24,14651.77,1133.54
14,2320,2407.82,969.3,3091.25,75228.75,2407.82,0,110,2517.82,3245.88,810.31,6181.27,150427.49,3245.88,0,360,3605.88,3604.78,580.0,6252.37,152157.73,3604.78,0.0,0,3604.78,4463.18,371.14,3994.93,97220.6,4463.18,0.0,12740,17203.18,19763.74,167.56,17436.76,424341.0,19763.74,0,2100.0,21881.77,66.26,2715.0,66072.24,16415.71,5466.06
15,3860,3773.68,969.99,4755.09,115719.94,3773.68,0,230,4003.68,4589.45,807.64,8529.99,207585.78,4589.45,0,490,5079.45,5079.45,580.0,8701.58,211761.54,5079.45,0.0,-50,5029.45,4183.7,379.21,3753.08,91335.05,4183.7,0.0,10410,14593.7,25459.01,155.0,20618.72,501777.1,25459.01,0,1800.0,27238.72,66.5,2715.0,66072.24,17966.49,9272.24
16,3980,4605.24,965.0,5660.68,137758.31,4605.24,0,170,4775.24,6441.39,799.95,11514.46,280215.84,6441.39,0,590,7031.39,7031.39,580.0,11864.21,288727.39,7031.39,0.0,-80,6951.39,6919.9,379.5,6307.08,153489.14,6919.9,0.0,12810,19729.9,24535.86,148.0,17865.4,434772.31,24535.86,0,1300.0,25835.86,66.5,2715.0,66072.24,17434.3,8401.56
17,4560,6699.47,945.0,7324.6,178251.38,6699.47,0,230,6929.47,6918.86,800.0,12095.12,294346.87,6918.86,0,650,7568.86,7568.86,580.0,12719.76,309548.01,7568.86,0.0,-120,7448.86,7646.79,377.69,6400.0,155750.4,7110.53,536.25,10720,18366.79,18366.79,148.0,12999.4,316353.29,18366.79,0,1100.0,19466.79,66.5,2715.0,66072.24,15632.95,3833.84
18,7220,6559.12,952.0,6819.56,165960.82,6559.12,0,-60,6499.12,9425.05,785.0,15539.05,378158.35,9425.05,0,880,10305.05,12796.25,560.0,13860.0,337296.96,8974.8,3821.45,140,12936.25,12738.33,379.5,6400.0,155750.4,7345.29,5393.04,16100,28838.33,28838.33,148.0,19953.81,485595.96,28838.33,0,1400.0,30238.33,66.5,2715.0,66072.24,18752.23,11486.1
19,5850,5583.8,954.5,6106.58,148609.68,5583.8,0,110,5693.8,5234.31,787.5,8668.61,210959.27,5234.31,0,610,5844.31,5613.63,562.0,8668.54,210957.47,5613.63,0.0,-230,5383.63,5383.63,379.5,4973.38,121032.1,5383.63,0.0,11770,17153.63,6571.31,162.17,5129.64,124834.82,6571.31,0,1200.0,7771.31,66.5,1668.41,40602.46,7771.31,0.0
20,4750,3983.72,961.44,4611.68,112229.73,3983.72,0,150,4133.72,3010.09,793.31,5194.81,126420.79,3010.09,0,400,3410.09,1919.23,574.17,3186.67,77550.81,1919.23,0.0,-230,1689.23,1725.52,379.17,1656.77,40319.14,1725.52,0.0,10130,11855.52,9275.46,165.0,7894.88,192129.81,9275.46,0,800.0,10075.46,66.5,2072.25,50430.24,10075.46,0.0
21,4780,4214.71,965.95,5069.43,123369.62,4214.71,0,320,4534.71,1991.46,805.54,3631.6,88378.65,1991.46,0,430,2421.46,2737.14,571.7,4621.95,112479.84,2737.14,0.0,-210,2527.14,2531.51,379.13,2399.07,58383.69,2531.51,0.0,10040,12571.51,13534.46,163.97,11566.35,281478.77,13534.46,0,800.0,14344.59,66.38,2715.0,66072.24,14309.22,35.37
22,4930,5110.24,964.51,6144.77,149539.18,5110.24,0,320,5430.24,3718.95,813.19,6973.29,169701.92,3718.95,0,380,4098.95,3089.87,579.43,5268.89,128223.77,3089.87,0.0,-110,2979.87,2939.21,379.5,2775.75,67550.63,2939.21,0.0,8320,11259.21,14766.92,159.94,12284.04,298944.47,14766.92,0,600.0,15356.78,66.5,2715.0,66072.24,14571.18,785.6
23,5030,4727.99,966.92,5731.55,139483.02,4727.99,0,170,4897.99,6648.27,805.36,12173.89,296263.8,6648.27,0,310,6958.27,4513.01,596.58,8073.78,196483.54,4513.01,0.0,-200,4313.01,4330.62,379.34,4035.43,98206.18,4330.62,0.0,7000,11330.62,8198.02,163.56,6855.29,166830.23,8198.02,0,300.0,8498.02,66.5,1799.76,43798.88,8498.02,0.0
24,4430,4754.05,964.34,5757.74,140120.42,4754.05,0,220,4974.05,3723.01,811.05,6943.95,168988.06,3723.01,0,260,3983.01,3537.41,599.5,6681.99,162612.9,3537.41,0.0,-100,3437.41,3419.8,379.5,3215.62,78255.28,3419.8,0.0,5190,8609.8,8186.93,164.02,6987.9,170057.59,8186.93,0,70.0,8257.28,66.5,1756.56,42747.68,8257.28,0.0
25,5010,3784.32,973.51,4744.7,115467.07,3784.32,0,270,4054.32,2924.03,815.89,5624.67,136882.02,2924.03,0,130,3054.03,5459.91,583.0,9846.67,239628.63,5459.91,0.0,-80,5379.91,5458.38,378.79,5022.66,122231.35,5458.38,0.0,6330,11788.38,12577.51,163.15,10664.91,259541.2,12577.51,0,80.0,12657.16,66.5,2483.28,60433.1,12657.16,0.0
26,5150,5655.3,970.07,7070.35,172064.05,5655.3,0,320,5975.3,6481.53,813.72,12189.31,296639.05,6481.53,0,220,6701.53,4295.65,599.5,7816.27,190216.84,4295.65,0.0,-10,4285.65,4209.7,379.48,3916.94,95322.61,4209.7,0.0,4030,8239.7,6705.19,164.82,5740.74,139706.54,6705.19,0,50.0,6755.19,66.5,1477.82,35964.34,6755.19,0.0
27,5320,4670.48,974.49,5926.38,144224.47,4670.48,0,340,5010.48,3696.11,819.36,7157.36,174181.42,3696.11,0,560,4256.11,5793.24,589.18,10573.17,257308.56,5793.24,0.0,70,5863.24,5884.1,379.29,5407.63,131600.05,5884.1,0.0,8430,14314.1,13875.87,165.28,11919.97,290084.46,13875.87,0,90.0,13965.87,66.5,2675.05,65099.97,13965.87,0.0
28,4880,4878.61,974.5,6267.19,152518.4,4878.61,0,310,5188.61,8194.04,806.21,15064.41,366607.44,8194.04,0,290,8484.04,6956.61,599.44,12590.62,306405.35,6956.61,0.0,30,6986.61,6963.23,379.5,6346.68,154452.87,6963.23,0.0,11530,18493.23,14197.77,169.53,12476.96,303639.28,14197.77,0,400.0,14597.77,66.5,2715.0,66072.24,14335.68,262.09
29,4860,4860.0,974.5,6244.83,151974.25,4860.0,0,250,5110.0,2071.42,819.5,4010.34,97595.56,2071.42,0,230,2301.42,2627.62,597.31,5009.83,121919.32,2627.62,0.0,-20,2607.62,2607.62,379.5,2476.51,60268.46,2607.62,0.0,7500,10107.62,6853.04,172.47,6275.44,152719.06,6853.04,0,180.0,7033.04,66.5,1530.66,37250.07,7033.04,0.0
30,4500,4500.0,974.5,5806.35,141303.33,4500.0,0,120,4620.0,3938.71,822.25,7756.29,188757.13,3938.71,0,240,4178.71,4723.26,593.68,8736.66,212615.32,4723.26,0.0,-60,4663.26,4663.26,379.5,4335.15,105500.22,4663.26,0.0,4460,9123.26,7546.08,173.85,7044.91,171444.84,7546.08,0,150.0,7696.08,66.5,1654.57,40265.69,7696.08,0.0
31,3630,3780.11,973.48,4902.45,119306.03,3780.11,0,0,3780.11,3323.93,824.07,6644.51,161700.68,3323.93,0,240,3563.93,2835.93,598.51,5342.44,130013.6,2835.93,0.0,-20,2815.93,2815.93,379.5,2667.43,64914.5,2815.93,0.0,4020,6835.93,6075.48,174.5,5729.9,139442.79,6075.48,0,140.0,6215.48,66.5,1373.44,33424.01,6215.48,0.0
32,2780,2629.89,974.5,3462.22,84256.53,2629.89,0,20,2649.89,2543.18,824.5,5145.98,125232.49,2543.18,0,260,2803.18,3151.87,596.21,5955.33,144929.02,3151.87,0.0,-70,3081.87,3081.87,379.5,2910.63,70833.01,3081.87,0.0,3670,6751.87,6751.87,174.5,6383.86,155357.66,6751.87,0,90.0,6844.73,66.47,1493.92,36355.98,6844.73,0.0
33,2110,2110.0,974.5,2808.07,68337.16,2110.0,0,120,2230.0,2918.82,821.75,5854.48,142474.66,2918.82,0,120,3038.82,2576.68,599.25,4900.81,119266.23,2576.68,0.0,-70,2506.68,2507.2,379.5,2384.15,58020.56,2507.2,0.0,2840,5347.2,5363.07,174.49,5075.41,123515.16,5363.07,0,120.0,5508.91,66.16,1224.89,29808.82,5508.91,0.0
34,2500,2500.0,974.5,3308.2,80508.36,2500.0,0,80,2580.0,2001.2,824.06,4048.29,98519.22,2001.2,0,250,2251.2,2610.26,596.9,4970.82,120969.98,2610.26,0.0,-100,2510.26,2509.74,379.5,2386.49,58077.59,2509.74,0.0,3200,5709.74,5693.87,174.5,5386.87,131094.9,5693.87,0,60.0,5725.16,66.5,1268.54,30871.19,5725.16,0.0
35,2270,2270.0,974.5,3013.96,73347.83,2270.0,0,70,2340.0,2230.1,824.5,4526.82,110164.73,2230.1,0,210,2440.1,2042.04,599.5,3909.88,95150.79,2042.04,0.0,-70,1972.04,1972.04,379.5,1889.06,45972.21,1972.04,0.0,3450,5422.04,5422.04,174.5,5131.27,124874.5,5422.04,0,80.0,5502.04,66.5,1232.27,29988.58,5502.04,0.0
36,2200,2200.0,974.5,2924.01,71158.63,2200.0,0,150,2350.0,2349.88,824.5,4768.52,116046.64,2349.88,0,150,2499.88,2499.88,599.5,4795.48,116702.86,2499.88,0.0,-100,2399.88,2399.88,379.5,2285.31,55615.34,2399.88,0.0,3140,5539.88,5539.88,174.5,5242.23,127574.96,5539.88,0,110.0,5649.88,66.5,1261.83,30707.99,5649.88,0.0
