旬,乌东德_入库流量(m³/s),乌东德_出库流量(m³/s),乌东德_水位(m),乌东德_出力(MW),乌东德_发电量(万kWh),乌东德_发电流量(m³/s),乌东德_弃水流量(m³/s),乌东德-白鹤滩区间来水(m³/s),白鹤滩_入库流量(m³/s),白鹤滩_出库流量(m³/s),白鹤滩_水位(m),白鹤滩_出力(MW),白鹤滩_发电量(万kWh),白鹤滩_发电流量(m³/s),白鹤滩_弃水流量(m³/s),白鹤滩-溪洛渡区间来水(m³/s),溪洛渡_入库流量(m³/s),溪洛渡_出库流量(m³/s),溪洛渡_水位(m),溪洛渡_出力(MW),溪洛渡_发电量(万kWh),溪洛渡_发电流量(m³/s),溪洛渡_弃水流量(m³/s),溪洛渡-向家坝区间来水(m³/s),向家坝_入库流量(m³/s),向家坝_出库流量(m³/s),向家坝_水位(m),向家坝_出力(MW),向家坝_发电量(万kWh),向家坝_发电流量(m³/s),向家坝_弃水流量(m³/s),向家坝-三峡区间来水(m³/s),三峡_入库流量(m³/s),三峡_出库流量(m³/s),三峡_水位(m),三峡_出力(MW),三峡_发电量(万kWh),三峡_发电流量(m³/s),三峡_弃水流量(m³/s),三峡-葛洲坝区间来水(m³/s),葛洲坝_出库流量(m³/s),葛洲坝_水位(m),葛洲坝_出力(MW),葛洲坝_发电量(万kWh),葛洲坝_发电流量(m³/s),葛洲坝_弃水流量(m³/s)
1,1900,2828.14,967.87,3645.25,88710.88,2828.14,0,80,2908.14,2908.14,824.5,5867.7,142796.44,2908.14,0,130,3038.14,3978.59,593.27,7430.75,180834.66,3978.59,0.0,-40,3938.59,4427.26,374.95,4039.01,98293.37,4427.26,0.0,3940,8367.26,17508.67,166.06,15730.54,382818.31,17508.67,0,100.0,17703.23,65.37,2715.0,66072.24,15569.15,2134.07
2,1960,1422.51,971.84,1859.66,45256.8,1422.51,0,150,1572.51,4443.52,812.53,8628.3,209978.23,4443.52,0,90,4533.52,5019.86,589.94,9098.95,221432.03,5019.86,0.0,-60,4959.86,4935.29,375.18,4390.72,106852.58,4935.29,0.0,4220,9155.29,7380.86,167.84,6502.16,158236.63,7380.86,0,100.0,7386.3,66.5,1561.7,38005.5,7386.3,0.0
3,2060,3005.6,964.62,3788.42,92194.89,3005.6,0,120,3125.6,3279.36,811.87,6252.15,152152.33,3279.36,0,110,3389.36,2051.72,598.92,3862.41,93995.61,2051.72,0.0,-10,2041.72,1718.92,378.21,1612.04,39230.54,1718.92,0.0,4570,6288.92,5601.35,168.5,4998.77,121650.13,5601.35,0,90.0,5691.35,66.5,1270.09,30908.97,5691.35,0.0
4,1850,1590.81,966.68,2016.0,49061.46,1590.81,0,130,1720.81,3258.95,804.91,6108.94,148667.15,3258.95,0,90,3348.95,3271.1,599.43,6224.65,151483.05,3271.1,0.0,0,3271.1,3139.07,379.42,2944.41,71655.2,3139.07,0.0,4380,7519.07,6829.44,169.16,6127.87,149127.83,6829.44,0,80.0,6909.44,66.5,1507.22,36679.76,6909.44,0.0
5,1980,902.94,974.5,1196.7,29122.81,902.94,0,170,1072.94,1567.18,802.63,2933.15,71381.02,1567.18,0,100,1667.18,1660.21,599.47,3204.39,77981.98,1660.21,0.0,20,1680.21,1741.95,378.85,1669.11,40619.49,1741.95,0.0,4540,6281.95,10078.26,165.39,8888.36,216307.21,10078.26,0,110.0,10188.26,66.5,2091.15,50890.23,10188.26,0.0
6,2030,2030.0,974.5,2704.75,65822.77,2030.0,0,120,2150.0,1433.06,805.94,2693.36,65545.67,1433.06,0,170,1603.06,1843.31,597.91,3541.81,86193.46,1843.31,0.0,-30,1813.31,2025.4,376.89,1910.64,46497.28,2025.4,0.0,5210,7235.4,5705.45,166.96,4994.37,121543.07,5705.45,0,270.0,5975.45,66.5,1326.28,32276.3,5975.45,0.0
7,1680,1680.0,974.5,2251.91,54802.49,1680.0,0,120,1800.0,1586.79,806.93,3004.9,73127.29,1586.79,0,150,1736.79,3161.34,588.26,5857.72,142553.57,3161.34,0.0,-20,3141.34,2858.23,379.5,2674.53,65087.46,2858.23,0.0,3800,6658.23,5290.93,168.3,4698.83,114350.74,5290.93,0,270.0,5560.93,66.5,1244.07,30275.67,5560.93,0.0
8,1960,1964.44,974.47,2619.91,63758.18,1964.44,0,40,2004.44,1729.43,808.19,3285.15,79947.29,1729.43,0,170,1899.43,1597.23,590.36,2946.35,71702.36,1597.23,0.0,-30,1567.23,1906.41,376.36,1802.56,43867.22,1906.41,0.0,3880,5786.41,5849.0,168.24,5224.07,127133.08,5849.0,0,210.0,6059.0,66.5,1342.73,32676.7,6059.0,0.0
9,1990,1985.56,974.5,2647.11,64420.0,1985.56,0,50,2035.56,2914.0,804.14,5425.09,132024.9,2914.0,0,170,3084.0,2015.64,597.55,3787.48,92172.0,2015.64,0.0,-30,1985.64,1706.74,378.95,1614.94,39301.21,1706.74,0.0,5690,7396.74,6790.23,168.82,6075.49,147853.11,6790.23,0,200.0,6990.23,66.5,1522.54,37052.55,6990.23,0.0
10,2210,2210.0,974.5,2936.87,71471.65,2210.0,0,60,2270.0,1324.91,808.5,2516.72,61246.84,1324.91,0,220,1544.91,1629.64,596.99,3115.84,75826.99,1629.64,0.0,0,1629.64,2015.75,375.35,1889.43,45981.13,2015.75,0.0,6520,8535.75,5286.44,171.8,4815.34,117186.18,5286.44,0,290.0,5576.44,66.5,1247.17,30351.15,5576.44,0.0
