旬,乌东德_入库流量(m³/s),乌东德_出库流量(m³/s),乌东德_水位(m),乌东德_出力(MW),乌东德_发电量(万kWh),乌东德_发电流量(m³/s),乌东德_弃水流量(m³/s),乌东德-白鹤滩区间来水(m³/s),白鹤滩_入库流量(m³/s),白鹤滩_出库流量(m³/s),白鹤滩_水位(m),白鹤滩_出力(MW),白鹤滩_发电量(万kWh),白鹤滩_发电流量(m³/s),白鹤滩_弃水流量(m³/s),白鹤滩-溪洛渡区间来水(m³/s),溪洛渡_入库流量(m³/s),溪洛渡_出库流量(m³/s),溪洛渡_水位(m),溪洛渡_出力(MW),溪洛渡_发电量(万kWh),溪洛渡_发电流量(m³/s),溪洛渡_弃水流量(m³/s),溪洛渡-向家坝区间来水(m³/s),向家坝_入库流量(m³/s),向家坝_出库流量(m³/s),向家坝_水位(m),向家坝_出力(MW),向家坝_发电量(万kWh),向家坝_发电流量(m³/s),向家坝_弃水流量(m³/s),向家坝-三峡区间来水(m³/s),三峡_入库流量(m³/s),三峡_出库流量(m³/s),三峡_水位(m),三峡_出力(MW),三峡_发电量(万kWh),三峡_发电流量(m³/s),三峡_弃水流量(m³/s),三峡-葛洲坝区间来水(m³/s),葛洲坝_出库流量(m³/s),葛洲坝_水位(m),葛洲坝_出力(MW),葛洲坝_发电量(万kWh),葛洲坝_发电流量(m³/s),葛洲坝_弃水流量(m³/s)
1,2092,3054.95,967.59,3921.31,95428.89,3054.95,0.0,0,3054.95,3331.67,823.4,6681.75,162607.05,3331.67,0.0,338,3669.67,4418.44,594.56,8249.32,200755.35,4418.44,0.0,-40,4378.44,5269.7,371.0,4682.48,113952.83,5269.7,0.0,3910,9179.7,13826.67,170.4,12747.99,310235.13,13826.67,0.0,100.0,13926.67,66.5,2669.49,64964.7,13926.67,0.0
2,2389,1800.38,971.95,2335.9,56846.55,1800.38,0.0,0,1800.38,1523.66,824.5,3114.68,75798.84,1523.66,0.0,360,1883.66,3238.06,585.18,5907.53,143765.61,3238.06,0.0,-70,3168.06,2948.42,373.18,2603.01,63346.91,2948.42,0.0,4050,6998.42,14070.97,163.31,12301.01,299357.32,14070.97,0.0,110.0,14359.55,64.3,2596.59,63190.64,14359.55,0.0
3,2135,1760.67,974.5,2337.68,56889.74,1760.67,0.0,0,1760.67,2148.06,822.95,4353.84,105955.07,2148.06,0.0,318,2466.06,3105.37,580.53,5487.01,133531.79,3105.37,0.0,-70,3035.37,2479.35,378.45,2280.79,55505.42,2479.35,0.0,4290,6769.35,12128.13,156.87,9929.75,241650.36,12128.13,0.0,180.0,12237.62,65.21,2237.74,54457.6,12237.62,0.0
4,2046,2046.0,974.5,2725.43,66326.13,2046.0,0.0,0,2046.0,2278.13,822.03,4587.38,111638.46,2278.13,0.0,407,2685.13,1966.6,585.75,3515.86,85561.93,1966.6,0.0,-90,1876.6,1881.21,378.4,1787.27,43495.0,1881.21,0.0,4520,6401.21,7528.24,155.4,5939.09,144533.8,7528.24,0.0,170.0,7605.89,66.31,1590.19,38698.95,7605.89,0.0
5,1605,4105.58,954.5,4973.02,121023.37,4105.58,0.0,0,4105.58,4849.37,818.99,9470.27,230468.61,4849.37,0.0,339,5188.37,3164.42,599.5,5850.99,142389.69,3164.42,0.0,-30,3134.42,3117.31,378.56,2915.94,70962.42,3117.31,0.0,3120,6237.31,5470.55,156.4,4312.21,104941.88,5470.55,0.0,70.0,5556.48,66.13,1229.93,29931.47,5556.48,0.0
6,1579,1160.0,958.43,1392.95,33898.8,1160.0,0.0,0,1160.0,3022.9,811.0,5848.12,142319.82,3022.9,0.0,282,3304.9,3304.9,599.5,6296.31,153227.06,3304.9,0.0,-30,3274.9,3171.81,379.5,2979.88,72518.28,3171.81,0.0,2360,5531.81,6246.56,155.47,4922.66,119797.85,6246.56,0.0,60.0,6274.91,66.5,1375.05,33463.31,6274.91,0.0
7,2084,2769.2,952.0,3196.49,77789.74,2769.2,0.0,0,2769.2,2663.83,811.46,5087.78,123816.32,2663.83,0.0,158,2821.83,2821.83,599.5,5398.25,131371.72,2821.83,0.0,-40,2781.83,3561.61,372.11,3234.42,78712.81,3561.61,0.0,2810,6371.61,5366.85,156.78,4241.03,103209.68,5366.85,0.0,80.0,5501.23,65.85,1217.01,29617.04,5501.23,0.0
8,2425,1160.0,963.3,1404.59,34182.07,1160.0,0.0,0,1160.0,4091.11,797.89,7483.4,182115.91,4091.11,0.0,237,4328.11,7209.88,579.5,12731.34,309829.96,7209.88,0.0,-30,7179.88,6400.11,379.5,5663.43,137825.23,6400.11,0.0,3410,9810.11,5919.87,161.57,4829.11,117521.34,5919.87,0.0,70.0,5935.49,66.5,1302.12,31688.41,5935.49,0.0
9,2216,2350.95,962.22,2883.11,70163.3,2350.95,0.0,0,2350.95,6130.12,777.89,10157.29,247187.87,6130.12,0.0,351,6481.12,3599.35,599.5,6534.05,159012.53,3599.35,0.0,-40,3559.35,3559.35,379.5,3344.23,81385.1,3559.35,0.0,4310,7869.35,5844.73,163.84,4943.66,120309.0,5844.73,0.0,50.0,5990.76,65.35,1300.11,31639.54,5990.76,0.0
10,2103,2528.38,958.62,3041.78,74024.67,2528.38,0.0,0,2528.38,1558.46,783.33,2610.3,63524.3,1558.46,0.0,356,1914.46,1914.46,599.5,3690.06,89801.37,1914.46,0.0,0,1914.46,1914.46,379.5,1835.46,44667.76,1914.46,0.0,6010,7924.46,6812.33,165.04,5858.16,142564.27,6812.33,0.0,60.0,6865.68,65.43,1434.36,34906.65,6865.68,0.0
11,1573,1160.0,962.12,1431.42,34835.03,1160.0,0.0,0,1160.0,1758.01,780.08,2951.75,71833.72,1758.01,0.0,280,2038.01,2694.83,595.18,5111.38,124390.59,2694.83,0.0,-20,2674.83,3065.66,375.88,2848.65,69324.8,3065.66,0.0,6330,9395.66,8997.32,165.46,7786.66,189496.04,8997.32,0.0,160.0,9341.33,63.0,1766.33,42985.46,9341.33,0.0
12,1853,2970.67,952.0,3464.28,84306.71,2970.67,0.0,0,2970.67,1260.0,789.38,2164.29,52670.25,1260.0,0.0,246,1506.0,1200.0,597.21,2285.24,55613.64,1200.0,0.0,0,1200.0,1700.0,371.0,1547.8,37667.18,1700.0,0.0,8370,10070.0,7590.9,167.96,6670.22,162326.57,7590.9,0.0,200.0,7517.51,66.5,1509.86,36744.06,7517.51,0.0
13,1516,1160.0,955.34,1365.38,33227.93,1160.0,0.0,0,1160.0,1276.03,788.75,2238.35,54472.45,1276.03,0.0,400,1676.03,4438.72,577.77,7925.81,192882.51,4438.72,0.0,-30,4408.72,3525.17,379.43,3185.06,77511.58,3525.17,0.0,8750,12275.17,10117.71,170.0,9069.38,220712.49,10117.71,0.0,500.0,10617.71,66.5,2162.24,52620.32,10617.71,0.0
14,1657,1160.0,960.01,1404.87,34188.84,1160.0,0.0,0,1160.0,1692.96,785.85,2925.98,71206.63,1692.96,0.0,318,2010.96,1713.68,579.99,3006.82,73173.95,1713.68,0.0,-70,1643.68,2289.03,373.36,2122.64,51656.65,2289.03,0.0,7660,9949.03,20393.73,158.82,17215.66,418960.34,20393.73,0.0,700.0,21093.73,66.5,2715.0,66072.24,16077.35,5016.38
15,2655,2287.23,962.94,2782.87,67724.0,2287.23,0.0,0,2287.23,2676.66,783.73,4510.1,109757.69,2676.66,0.0,309,2985.66,3590.86,575.42,6159.15,149888.96,3590.86,0.0,20,3610.86,2958.23,379.5,2720.55,66207.32,2958.23,0.0,14140,17098.23,20079.4,155.0,15679.28,381570.9,20079.4,0.0,1000.0,21244.67,64.47,2715.0,66072.24,16989.78,4254.89
16,2924,2666.18,965.0,3281.15,79849.96,2666.18,0.0,0,2666.18,3763.11,777.58,6135.07,149303.17,3763.11,0.0,760,4523.11,3916.27,580.0,6696.71,162971.12,3916.27,0.0,0,3916.27,3916.27,379.5,3666.55,89229.14,3916.27,0.0,9400,13316.27,18122.23,148.0,13371.44,325407.26,18122.23,0.0,200.0,18156.96,66.5,2715.0,66072.24,16052.62,2104.33
17,2951,2951.0,965.0,3641.59,88621.78,2951.0,0.0,0,2951.0,3866.87,772.18,6107.58,148634.07,3866.87,0.0,980,4846.87,4846.87,580.0,8318.77,202445.54,4846.87,0.0,-50,4796.87,4796.87,379.5,4454.02,108393.07,4796.87,0.0,9060,13856.87,13856.87,148.0,9895.49,240816.72,13856.87,0.0,100.0,13956.87,66.5,2673.77,65068.95,13956.87,0.0
18,5685,7163.59,952.0,8006.14,194837.46,7163.59,0.0,0,7163.59,4917.99,785.0,7847.1,190967.0,4917.99,0.0,864,5781.99,8273.19,560.0,13131.53,319568.9,8273.19,0.0,40,8313.19,8588.2,376.97,6400.0,155750.4,7182.01,1406.2,13640,22228.2,22228.2,148.0,15601.58,379679.95,22228.2,0.0,800.0,23028.2,66.5,2715.0,66072.24,16626.53,6401.68
19,5719,5736.78,951.83,6196.55,150799.19,5736.78,0.0,0,5736.78,5277.28,787.5,8736.47,212610.78,5277.28,0.0,1200,6477.28,6246.61,562.0,9593.09,233457.53,6246.61,0.0,380,6626.61,6351.6,379.5,5753.82,140025.07,6351.6,0.0,28760,35111.6,31914.8,152.88,22500.0,547560.0,31806.19,108.6,1100.0,33029.58,66.32,2715.0,66072.24,19723.29,13306.29
20,11014,8621.46,971.83,9738.22,236989.34,8621.46,0.0,0,8621.46,4577.98,807.27,8058.48,196111.25,4577.98,0.0,716,5293.98,2761.92,582.0,4640.73,112936.88,2761.92,0.0,200,2961.92,3666.06,372.86,3337.27,81215.78,3666.06,0.0,36500,40166.06,30200.48,165.0,22500.0,547560.0,28745.04,1455.44,1700.0,31984.64,65.32,2715.0,66072.24,20119.05,11865.59
21,8952,11344.54,951.83,10200.0,248227.2,9249.9,2094.64,0,11344.54,7293.34,824.5,13696.38,333315.11,7293.34,0.0,940,8233.34,5690.29,599.5,10219.79,248708.81,5690.29,0.0,340,6030.29,5326.15,379.5,4772.31,116138.89,5326.15,0.0,15800,21126.15,27369.32,157.73,22106.1,537974.09,27369.32,0.0,1500.0,28920.37,64.68,2715.0,66072.24,20088.4,8831.97
