旬,乌东德_入库流量(m³/s),乌东德_出库流量(m³/s),乌东德_水位(m),乌东德_出力(MW),乌东德_发电量(万kWh),乌东德_发电流量(m³/s),乌东德_弃水流量(m³/s),乌东德-白鹤滩区间来水(m³/s),白鹤滩_入库流量(m³/s),白鹤滩_出库流量(m³/s),白鹤滩_水位(m),白鹤滩_出力(MW),白鹤滩_发电量(万kWh),白鹤滩_发电流量(m³/s),白鹤滩_弃水流量(m³/s),白鹤滩-溪洛渡区间来水(m³/s),溪洛渡_入库流量(m³/s),溪洛渡_出库流量(m³/s),溪洛渡_水位(m),溪洛渡_出力(MW),溪洛渡_发电量(万kWh),溪洛渡_发电流量(m³/s),溪洛渡_弃水流量(m³/s),溪洛渡-向家坝区间来水(m³/s),向家坝_入库流量(m³/s),向家坝_出库流量(m³/s),向家坝_水位(m),向家坝_出力(MW),向家坝_发电量(万kWh),向家坝_发电流量(m³/s),向家坝_弃水流量(m³/s),向家坝-三峡区间来水(m³/s),三峡_入库流量(m³/s),三峡_出库流量(m³/s),三峡_水位(m),三峡_出力(MW),三峡_发电量(万kWh),三峡_发电流量(m³/s),三峡_弃水流量(m³/s),三峡-葛洲坝区间来水(m³/s),葛洲坝_出库流量(m³/s),葛洲坝_水位(m),葛洲坝_出力(MW),葛洲坝_发电量(万kWh),葛洲坝_发电流量(m³/s),葛洲坝_弃水流量(m³/s)
22,8791,8069.31,958.61,8708.43,211928.41,8069.31,0.0,0,8069.31,8069.31,824.5,15653.06,380932.81,8069.31,0.0,1564,9633.31,9633.31,599.5,13860.0,337296.96,7599.65,2033.66,600,10233.31,11124.57,371.0,6400.0,155750.4,7521.17,3603.4,21800,32924.57,27134.62,164.52,21869.28,532210.83,27134.62,0.0,1600.0,28584.64,66.5,2715.0,66072.24,19255.5,9329.13
23,10292,8254.4,974.33,9681.1,235599.35,8254.4,0.0,0,8254.4,8254.4,824.5,15990.54,389145.85,8254.4,0.0,1119,9373.4,12254.59,579.5,13860.0,337296.96,8082.07,4172.52,600,12854.59,11963.33,379.5,6400.0,155750.4,7559.37,4403.96,14600,26563.33,26110.1,165.0,21890.9,532736.96,26110.1,0.0,2300.0,28410.1,66.5,2715.0,66072.24,18198.99,10211.11
24,8005,10498.62,954.33,10200.0,248227.2,9013.94,1484.68,0,10498.62,11317.32,821.23,16000.0,389376.0,8498.82,2818.5,992,12309.32,9428.13,599.5,13860.0,337296.96,7961.25,1466.88,230,9658.13,9673.75,379.36,6400.0,155750.4,7151.47,2522.28,12850,22523.75,22523.75,165.0,19052.84,463669.84,22523.75,0.0,1700.0,24223.75,66.5,2715.0,66072.24,16964.36,7259.39
25,7663,5498.62,972.09,6485.43,157829.43,5498.62,0.0,0,5498.62,7614.32,812.25,14318.78,348461.94,7614.32,0.0,619,8233.32,8233.32,599.5,13860.0,337296.96,7539.14,694.18,20,8253.32,8237.7,379.5,6400.0,155750.4,7084.11,1153.59,9660,17897.7,19620.35,163.13,16527.48,402212.71,19620.35,0.0,500.0,20120.35,66.5,2715.0,66072.24,15813.18,4307.16
26,11508,11967.33,968.78,10200.0,248227.2,8716.42,3250.91,0,11967.33,9032.93,824.5,16000.0,389376.0,8537.04,495.89,522,9554.93,11093.77,589.17,13860.0,337296.96,7846.95,3246.82,300,11393.77,11393.77,379.5,6400.0,155750.4,7226.52,4167.25,8200,19593.77,19481.16,163.26,16270.48,395958.33,19481.16,0.0,300.0,19781.16,66.5,2715.0,66072.24,15720.03,4061.14
27,9119,9879.6,962.72,10200.0,248227.2,8873.71,1005.89,0,9879.6,9879.6,824.5,16000.0,389376.0,8358.22,1521.38,885,10764.6,10351.99,592.01,13860.0,337296.96,7960.69,2391.3,270,10621.99,10621.99,379.5,6400.0,155750.4,7191.51,3430.48,13400,24021.99,20815.26,166.65,17654.36,429636.52,20815.26,0.0,1000.0,21815.26,66.5,2715.0,66072.24,16284.34,5530.92
28,9188,7613.57,974.5,9123.02,222017.83,7613.57,0.0,0,7613.57,7613.57,824.5,14819.47,360646.63,7613.57,0.0,1201,8814.57,7688.33,599.5,13860.0,337296.96,7645.0,43.33,500,8188.33,8210.74,379.3,6400.0,155750.4,7084.86,1125.88,11700,19910.74,16437.99,170.0,14524.06,353457.62,16437.99,0.0,1000.0,17704.67,63.1,2715.0,66072.24,16483.63,1221.04
29,6277,6375.04,973.83,8034.57,195529.35,6375.04,0.0,0,6375.04,6375.04,824.5,12524.15,304787.77,6375.04,0.0,1055,7430.04,7430.04,599.5,13731.0,334157.57,7430.04,0.0,140,7570.04,7547.63,379.5,6400.0,155750.4,7051.9,495.73,10130,17677.63,12590.94,174.5,11603.53,282383.39,12590.94,0.0,500.0,12824.26,66.5,2323.15,56536.06,12824.26,0.0
30,4761,4677.82,974.4,6008.15,146214.35,4677.82,0.0,0,4677.82,4677.82,824.5,9305.56,226460.03,4677.82,0.0,790,5467.82,5467.82,599.5,10243.76,249292.19,5467.82,0.0,-10,5457.82,5697.65,377.3,5196.39,126459.31,5697.65,0.0,8730,14427.65,14427.65,174.5,13544.7,329623.88,14427.65,0.0,400.0,14827.65,66.5,2715.0,66072.24,14395.09,432.56
31,4159,4144.14,974.5,5367.78,130630.27,4144.14,0.0,0,4144.14,4144.14,824.5,8275.69,201397.11,4144.14,0.0,535,4679.14,4679.14,599.5,8817.33,214578.64,4679.14,0.0,-100,4579.14,4339.31,379.5,4005.5,97477.88,4339.31,0.0,6410,10749.31,13364.3,172.23,12431.63,302536.26,13364.3,0.0,300.0,13664.3,66.5,2632.0,64052.26,13664.3,0.0
32,2589,3082.3,971.14,4001.52,97380.87,3082.3,0.0,0,3082.3,3082.3,824.5,6208.97,151101.48,3082.3,0.0,568,3650.3,3650.3,599.5,6933.77,168740.11,3650.3,0.0,-50,3600.3,3600.3,379.5,3381.24,82285.77,3600.3,0.0,6740,10340.3,8364.3,173.95,7799.43,189806.81,8364.3,0.0,200.0,8664.3,65.31,1785.27,43446.33,8664.3,0.0
33,2468,1974.7,974.5,2605.22,63400.59,1974.7,0.0,0,1974.7,1974.7,824.5,4022.81,97899.14,1974.7,0.0,330,2304.7,2304.7,599.5,4428.41,107769.82,2304.7,0.0,-20,2284.7,2284.7,379.5,2179.02,53028.59,2284.7,0.0,5100,7384.7,7893.24,173.51,7405.75,180226.3,7893.24,0.0,120.0,7913.24,66.5,1654.26,40258.05,7913.24,0.0
34,1991,1991.0,974.5,2654.36,64596.52,1991.0,0.0,0,1991.0,1991.0,824.5,4055.17,98686.55,1991.0,0.0,414,2405.0,2405.0,599.5,4617.19,112363.99,2405.0,0.0,-30,2375.0,2375.0,379.5,2262.38,55057.19,2375.0,0.0,3800,6175.0,6292.87,173.41,5896.13,143488.31,6292.87,0.0,80.0,6372.87,66.5,1404.13,34170.8,6372.87,0.0
35,1935,1935.0,974.5,2582.23,62841.06,1935.0,0.0,0,1935.0,2309.39,823.01,4673.62,113737.14,2309.39,0.0,340,2649.39,2649.39,599.5,5075.81,123524.96,2649.39,0.0,0,2649.39,2649.39,379.5,2514.84,61201.13,2649.39,0.0,4740,7389.39,6123.99,174.5,5764.14,140276.23,6123.99,0.0,130.0,6253.99,66.5,1380.97,33607.22,6253.99,0.0
36,1718,1718.0,974.5,2301.33,56005.07,1718.0,0.0,0,1718.0,1343.61,824.5,2750.67,66940.26,1343.61,0.0,367,1710.61,1710.61,599.5,3301.36,80341.97,1710.61,0.0,-10,1700.61,1700.61,379.5,1635.92,39811.78,1700.61,0.0,4610,6310.61,6310.61,174.5,5968.49,145249.09,6310.61,0.0,140.0,6450.61,66.5,1419.21,34537.86,6450.61,0.0
