旬,乌东德_入库流量(m³/s),乌东德_出库流量(m³/s),乌东德_水位(m),乌东德_出力(MW),乌东德_发电量(万kWh),乌东德_发电流量(m³/s),乌东德_弃水流量(m³/s),乌东德-白鹤滩区间来水(m³/s),白鹤滩_入库流量(m³/s),白鹤滩_出库流量(m³/s),白鹤滩_水位(m),白鹤滩_出力(MW),白鹤滩_发电量(万kWh),白鹤滩_发电流量(m³/s),白鹤滩_弃水流量(m³/s),白鹤滩-溪洛渡区间来水(m³/s),溪洛渡_入库流量(m³/s),溪洛渡_出库流量(m³/s),溪洛渡_水位(m),溪洛渡_出力(MW),溪洛渡_发电量(万kWh),溪洛渡_发电流量(m³/s),溪洛渡_弃水流量(m³/s),溪洛渡-向家坝区间来水(m³/s),向家坝_入库流量(m³/s),向家坝_出库流量(m³/s),向家坝_水位(m),向家坝_出力(MW),向家坝_发电量(万kWh),向家坝_发电流量(m³/s),向家坝_弃水流量(m³/s),向家坝-三峡区间来水(m³/s),三峡_入库流量(m³/s),三峡_出库流量(m³/s),三峡_水位(m),三峡_出力(MW),三峡_发电量(万kWh),三峡_发电流量(m³/s),三峡_弃水流量(m³/s),三峡-葛洲坝区间来水(m³/s),葛洲坝_出库流量(m³/s),葛洲坝_水位(m),葛洲坝_出力(MW),葛洲坝_发电量(万kWh),葛洲坝_发电流量(m³/s),葛洲坝_弃水流量(m³/s)
11,1739,1262.91,972.2,1663.38,40480.08,1262.91,0,0,1262.91,1361.24,773,2202.26,53594.22,1361.24,0,334,1695.24,2316.94,595.41,4411.22,107351.52,2316.94,0,-30,2286.94,2130.95,379.5,2023.69,49248.47,2130.95,0,4800,6930.95,6930.95,174.5,6552.71,159466.87,6930.95,0,360,7047.75,66.45,1437.8,34990.26,7047.75,0
12,1843,1798.56,972.5,2372.94,57747.78,1798.56,0,0,1798.56,1667.54,773.77,2685.89,65363.92,1667.54,0,346,2013.54,1391.83,599.5,2665.51,64867.8,1391.83,0,-10,1381.83,1701.61,376.55,1615.5,39314.86,1701.61,0,6510,8211.61,26724.17,155,22378.8,544610.54,26724.17,0,400,27119.83,66.5,2715,66072.24,17836.21,9283.61
13,2454,3092.3,967.84,3944.21,95986.26,3092.3,0,0,3092.3,3585.61,770.86,5602.23,136335.9,3585.61,0,109,3694.61,6509.19,580,11565.45,281456.73,6509.19,0,30,6539.19,7110.68,371,6134.19,149281.64,7110.68,0,6460,13570.68,5000,165.23,4121.79,100307.89,5000,0,400,5500.56,65.3,1203.92,29298.57,5500.56,0
14,3252,4911.26,953.64,5732.51,139506.28,4911.26,0,0,4911.26,1875.33,788.09,3107.53,75624.75,1875.33,0,264,2139.33,2169.59,579.77,3811.9,92766.4,2169.59,0,-70,2099.59,1700,374.92,1540.83,37497.54,1700,0,9630,11330,6474.81,170,5744.28,139792.68,6474.81,0,900,7281.28,66.42,1537.73,37422.28,7281.28,0
15,2626,3461.75,945,3780.96,92013.54,3461.75,0,0,3461.75,1260,799.22,2259.88,54996.5,1260,0,458,1718,2397.73,574.63,4149.08,100972.11,2397.73,0,-40,2357.73,1866.06,379.5,1753.99,42685.12,1866.06,0,12250,14116.06,27541.93,155,22500,547560,27535.78,6.15,1100,28634.9,66.5,2715,66072.24,18310.64,10324.25
16,2768,1423.07,958.42,1640.89,39932.63,1423.07,0,0,1423.07,4298.15,784.43,7379.89,179596.95,4298.15,0,353,4651.15,3941.16,580,6724.37,163644.37,3941.16,0,-60,3881.16,3881.16,379.5,3634.94,88459.81,3881.16,0,11930,15811.16,20617.12,148,15133.6,368291.32,20617.12,0,600,21413.56,64.06,2715,66072.24,17233.63,4179.92
17,2073,1677,961.82,2043.06,49719.94,1677,0,0,1677,4970.73,765,7763.75,188938.62,4970.73,0,328,5298.73,5298.73,580,9061.12,220511.45,5298.73,0,50,5348.73,5348.73,379.5,4942.6,120283.1,5348.73,0,14750,20098.73,20098.73,148,14171.15,344869.2,20098.73,0,900,20857.94,65.84,2715,66072.24,17362.52,3495.42
18,4472,5552.05,952,6247.07,152028.66,5552.05,0,0,5552.05,2152.74,785,3471.51,84482.66,2152.74,0,425,2577.74,5068.95,560,8253.46,200856.28,5068.95,0,0,5068.95,5068.95,379.5,4695.23,114263.02,5068.95,0,19380,24448.95,24837.54,147.34,17265.51,420173.45,24837.54,0,1000,25781.88,66.5,2715,66072.24,17738.21,8043.67
19,5025,4758.8,954.5,5262.4,128065.71,4758.8,0,0,4758.8,4299.31,787.5,7178.14,174687.31,4299.31,0,675,4974.31,5268.85,557.4,8058.26,196105.9,5268.85,0,-30,5238.85,5238.85,379.5,4845.59,117922.39,5238.85,0,15260,20498.85,6947.87,165,5486.01,133507.56,6947.87,0,1100,8047.87,66.5,1718.89,41831.02,8047.87,0
20,5352,2851.42,974.5,3511.95,85466.8,2851.42,0,0,2851.42,3703.46,782.86,6184.02,150494.29,3703.46,0,1277,4980.46,3423.12,570.56,5481.44,133396.44,3423.12,0,-50,3373.12,3373.12,379.5,3175.61,77281.6,3373.12,0,16780,20153.12,20153.12,165,17119.77,416626.7,20153.12,0,1300,21453.12,66.5,2715,66072.24,16179.79,5273.34
21,5034,7534.58,954.5,8772.24,213481.27,7534.58,0,0,7534.58,3607.09,802.81,6263.62,152431.38,3607.09,0,1338,4945.09,2243.79,590.53,3952.12,96178.83,2243.79,0,80,2323.79,3136.1,371.79,2857.25,69533.98,3136.1,0,25530,28666.1,28708.42,164.96,22500,547560,26901.91,1806.51,1600,30317.11,66.4,2715,66072.24,18833.55,11483.56
22,4979,3171.83,969.75,3824.61,93075.66,3171.83,0,0,3171.83,3560.92,801.01,6460.87,157231.66,3560.92,0,1195,4755.92,3414.23,599.5,6368.37,154980.59,3414.23,0,190,3604.23,2791.92,379.5,2553.88,62151.24,2791.92,0,25140,27931.92,27889.6,165,22500,547560,26860.45,1029.15,1400,29280.91,66.5,2715,66072.24,18516.78,10764.13
23,5807,5113.59,974.5,6448.05,156919.76,5113.59,0,0,5113.59,4398.44,804.31,7951.06,193497.06,4398.44,0,927,5325.44,7829.26,582.29,13856.54,337212.76,7829.26,0,-120,7709.26,7946.91,377.32,6400,155750.4,7138.31,808.59,13960,21906.91,21906.91,165,18551.72,451474.6,21906.91,0,1300,23206.91,66.5,2715,66072.24,16676.17,6530.74
24,5518,5518,974.5,7036.4,171237.88,5518,0,0,5518,9505.19,784.31,15806.95,384677.88,9505.19,0,827,10332.19,7828.38,599.5,13855.07,337176.93,7828.38,0,-190,7638.38,7400.72,379.5,6400,155750.4,7110.42,290.3,12740,20140.72,20140.72,165,17109.66,416380.69,20140.72,0,900,21040.72,66.5,2715,66072.24,16062.35,4978.38
25,6050,6050,974.5,7669.65,186648.68,6050,0,0,6050,2062.81,804.31,3668.97,89288.01,2062.81,0,621,2683.81,2683.81,599.5,5140.25,125093.08,2683.81,0,-90,2593.81,3027.51,375.47,2809.18,68364.23,3027.51,0,8020,11047.51,20061.43,154.14,16118.71,392264.96,20061.43,0,200,20346.14,65.49,2715,66072.24,16282.04,4064.1
26,8856,8856,974.5,10200,248227.2,8261.05,594.95,0,8856,4209.56,824.31,8037.88,195609.94,4209.56,0,453,4662.56,7198.96,582.05,12791.03,311282.43,7198.96,0,-60,7138.96,6705.26,379.5,6014.67,146373.1,6705.26,0,20670,27375.26,18361.34,165,14801.13,360200.24,18361.34,0,700,18976.64,66.5,2715,66072.24,15888.16,3088.48
27,8925,8925,974.5,10200,248227.2,8265.96,659.04,0,8925,8878.27,824.5,16000,389376,8300.39,577.87,445,9323.27,6786.87,599.5,12094.12,294322.58,6786.87,0,150,6936.87,7056.85,378.41,6400,155750.4,7055.74,1.11,10550,17606.85,13922.92,168.7,12172.8,296237.22,13922.92,0,700,14622.92,66.5,2715,66072.24,14342.16,280.77
28,6147,6147,974.5,7784.26,189437.72,6147,0,0,6147,6147,824.5,12096.66,294384.22,6147,0,467,6614,6614,599.5,12291.06,299115.22,6614,0,60,6674,6554.02,379.5,5967.81,145232.55,6554.02,0,12290,18844.02,17458.5,170,15548.96,378399.46,17458.5,0,500,17958.5,66.5,2715,66072.24,15220.7,2737.8
29,5155,5290.96,973.58,6743.87,164118.86,5290.96,0,0,5290.96,5290.96,824.5,10478.27,254999.16,5290.96,0,438,5728.96,5728.96,599.5,10712.26,260693.61,5728.96,0,-70,5658.96,5658.96,379.5,5215.7,126929.24,5658.96,0,11250,16908.96,11822.27,174.5,10904.87,265380.95,11822.27,0,600,12422.27,66.5,2447.84,59570.6,12422.27,0
30,4267,4131.04,974.5,5337.17,129885.31,4131.04,0,0,4131.04,4131.04,824.5,8250.3,200779.4,4131.04,0,389,4520.04,4520.04,599.5,8527.49,207525.02,4520.04,0,-10,4510.04,4510.04,379.5,4198.52,102175.19,4510.04,0,12480,16990.04,16990.04,174.5,15888.87,386671.46,16990.04,0,600,17590.04,66.5,2715,66072.24,15122.46,2467.59
31,3534,3534,974.5,4612.12,112240.62,3534,0,0,3534,3534,824.5,7092.15,172594.52,3534,0,376,3910,3974.01,599.08,7520.66,183022.74,3974.01,0,10,3984.01,3984.01,379.5,3727.48,90711.98,3984.01,0,9140,13124.01,13124.01,174.5,12338.73,300275.39,13124.01,0,500,13624.01,66.5,2626.2,63911.1,13624.01,0
32,2761,2761,974.5,3639.98,88582.5,2761,0,0,2761,2761,824.5,5579.24,135776.4,2761,0,406,3167,3102.99,599.5,5916.39,143981.18,3102.99,0,-40,3062.99,3062.99,379.5,2893.41,70414.05,3062.99,0,5780,8842.99,8842.99,174.5,8349.37,203190.31,8842.99,0,250,9092.99,66.5,1904.29,46342.87,9092.99,0
33,2032,2032,974.5,2707.33,65885.7,2032,0,0,2032,2032,824.5,4136.85,100674.38,2032,0,311,2343,2343,599.5,4500.53,109524.98,2343,0,40,2383,2383,379.5,2269.75,55236.67,2383,0,5460,7843,7843,174.5,7410.25,180335.85,7843,0,170,8013,66.5,1712.56,41676.93,8013,0
34,2583,2583,974.5,3413.99,83082.78,2583,0,0,2583,2583,824.5,5229.09,127255.04,2583,0,322,2905,2905,599.5,5553.4,135147.6,2905,0,-10,2895,2895,379.5,2739.89,66678,2895,0,5220,8115,8115,174.5,7665.47,186546.87,8115,0,150,8265,66.5,1758.1,42785.13,8265,0
35,1539,1539,974.5,2067.96,50325.99,1539,0,0,1539,1539,824.5,3152.65,76722.89,1539,0,362,1901,1901,599.5,3664.43,89177.67,1901,0,-40,1861,1861,379.5,1785.62,43454.82,1861,0,4340,6201,6201,174.5,5865.4,142740.29,6201,0,150,6351,66.5,1399.87,34067.34,6351,0
36,1408,1408,974.5,1896.83,46161.24,1408,0,0,1408,1408,824.5,2889.08,70308.71,1408,0,227,1635,1635,599.5,3156.93,76827.11,1635,0,-20,1615,1700,378.73,1629.76,39661.85,1700,0,4600,6300,6300,174.5,5958.51,145006.26,6300,0,110,6410,66.5,1411.34,34346.27,6410,0
