旬,乌东德_入库流量(m³/s),乌东德_出库流量(m³/s),乌东德_水位(m),乌东德_出力(MW),乌东德_发电量(万kWh),乌东德_发电流量(m³/s),乌东德_弃水流量(m³/s),乌东德-白鹤滩区间来水(m³/s),白鹤滩_入库流量(m³/s),白鹤滩_出库流量(m³/s),白鹤滩_水位(m),白鹤滩_出力(MW),白鹤滩_发电量(万kWh),白鹤滩_发电流量(m³/s),白鹤滩_弃水流量(m³/s),白鹤滩-溪洛渡区间来水(m³/s),溪洛渡_入库流量(m³/s),溪洛渡_出库流量(m³/s),溪洛渡_水位(m),溪洛渡_出力(MW),溪洛渡_发电量(万kWh),溪洛渡_发电流量(m³/s),溪洛渡_弃水流量(m³/s),溪洛渡-向家坝区间来水(m³/s),向家坝_入库流量(m³/s),向家坝_出库流量(m³/s),向家坝_水位(m),向家坝_出力(MW),向家坝_发电量(万kWh),向家坝_发电流量(m³/s),向家坝_弃水流量(m³/s),向家坝-三峡区间来水(m³/s),三峡_入库流量(m³/s),三峡_出库流量(m³/s),三峡_水位(m),三峡_出力(MW),三峡_发电量(万kWh),三峡_发电流量(m³/s),三峡_弃水流量(m³/s),三峡-葛洲坝区间来水(m³/s),葛洲坝_出库流量(m³/s),葛洲坝_水位(m),葛洲坝_出力(MW),葛洲坝_发电量(万kWh),葛洲坝_发电流量(m³/s),葛洲坝_弃水流量(m³/s)
1,2184,2427.48,972.84,3198.56,77840.08,2427.48,0,0,2427.48,2427.48,824.5,4922.08,119783.62,2427.48,0,285,2712.48,5527.06,580,9892.16,240735.52,5527.06,0,-40,5487.06,6378.32,371,5615.02,136647.14,6378.32,0,4030,10408.32,10408.32,174.5,9814.87,238854.71,10408.32,0,140,10731.26,64.24,2077.61,50560.83,10731.26,0
2,2359,2115.52,974.5,2800.3,68148.03,2115.52,0,0,2115.52,2392.94,823.39,4842.49,117846.85,2392.94,0,304,2696.94,2696.94,580,4717.8,114812.35,2696.94,0,-50,2646.94,1765.86,379.41,1632.32,39724.21,1765.86,0,3950,5715.86,7316.2,173.12,6872.16,167240.94,7316.2,0,170,7303.27,66.5,1511.36,36780.34,7303.27,0
3,2151,4065.93,960,5022.48,122227.06,4065.93,0,0,4065.93,3788.51,824.5,7568.93,184197.55,3788.51,0,405,4193.51,2072.39,594.93,3777.92,91939.41,2072.39,0,-40,2032.39,2634.75,373.75,2436,59282.38,2634.75,0,3950,6584.75,8919.55,171.05,8238.24,200485.81,8919.55,0,120,9073.89,66.09,1885.27,45880,9073.89,0
4,1622,1101.88,964.15,1377.46,33521.95,1101.88,0,0,1101.88,1160,824.27,2386.52,58078.45,1160,0,279,1439,2637.58,586.69,4858.87,118245.52,2637.58,0,10,2647.58,2689.9,373.34,2415.8,58790.79,2689.9,0,3840,6529.9,10775.33,167.03,9656.95,235011.49,10775.33,0,120,11134.72,63,2061.25,50162.59,11134.72,0
5,1839,900,971.4,1171.25,28503.47,900,0,0,900,5228.16,805.73,9936.46,241813.76,5228.16,0,251,5479.16,5059.75,589.63,9019.96,219509.86,5059.75,0,-40,5019.75,4973.09,373.79,4359.47,106092.1,4973.09,0,3080,8053.09,5684.69,169.33,5073.18,123461.01,5684.69,0,130,5583.68,65.99,1153.55,28072.91,5583.68,0
6,2056,1600.19,974.5,2126.81,51758.1,1600.19,0,0,1600.19,2596.94,801.13,4791.45,116604.79,2596.94,0,284,2880.94,4888.17,574.98,8482.47,206429.27,4888.17,0,-40,4848.17,4443.13,377.64,3995.91,97244.47,4443.13,0,3950,8393.13,5954.49,171.55,5427.45,132082.3,5954.49,0,170,6355.5,63,1292.55,31455.38,6355.5,0
7,2528,2752.63,972.97,3611.5,87889.4,2752.63,0,0,2752.63,1585.47,806.52,2967.28,72211.65,1585.47,0,245,1830.47,4217.5,555,6737.2,163956.4,4217.5,0,-50,4167.5,4227.19,377.08,3868.89,94153.38,4227.19,0,4330,8557.19,6862.87,173.05,6360.21,154782.03,6862.87,0,160,6807.38,65.81,1366.5,33255.21,6807.38,0
8,2248,4686.67,952.97,5574.96,135672.14,4686.67,0,0,4686.67,4181.73,808.84,7750.62,188619.04,4181.73,0,348,4529.73,2283.51,573.89,3708.05,90239.1,2283.51,0,-10,2273.51,2175.53,377.99,2041.67,49686,2175.53,0,4560,6735.53,5962.19,173.72,5583.65,135883.71,5962.19,0,200,6103.95,66.5,1333.61,32454.8,6103.95,0
9,2112,1162.58,961.6,1404.07,34169.4,1162.58,0,0,1162.58,4927.54,790.79,8750.91,212962.26,4927.54,0,318,5245.54,2582.38,593.16,4599.55,111934.68,2582.38,0,-30,2552.38,2387.51,379.5,2258.62,54965.84,2387.51,0,4880,7267.51,9320.29,171.92,8664.47,210858.57,9320.29,0,370,9693.45,66.46,2006.23,48823.59,9693.45,0
10,2059,1160,968.78,1478.95,35991.79,1160,0,0,1160,4245.85,773.58,6945.51,169025.99,4245.85,0,236,4481.85,3524.33,599.5,6606.73,160781.27,3524.33,0,-40,3484.33,3640.33,378.08,3395.44,82631.35,3640.33,0,4460,8100.33,5141.67,174.5,4810.56,117069.9,5141.67,0,500,5886.05,63.36,1229.15,29912.58,5886.05,0
