旬,乌东德_入库流量(m³/s),乌东德_出库流量(m³/s),乌东德_水位(m),乌东德_出力(MW),乌东德_发电量(万kWh),乌东德_发电流量(m³/s),乌东德_弃水流量(m³/s),乌东德-白鹤滩区间来水(m³/s),白鹤滩_入库流量(m³/s),白鹤滩_出库流量(m³/s),白鹤滩_水位(m),白鹤滩_出力(MW),白鹤滩_发电量(万kWh),白鹤滩_发电流量(m³/s),白鹤滩_弃水流量(m³/s),白鹤滩-溪洛渡区间来水(m³/s),溪洛渡_入库流量(m³/s),溪洛渡_出库流量(m³/s),溪洛渡_水位(m),溪洛渡_出力(MW),溪洛渡_发电量(万kWh),溪洛渡_发电流量(m³/s),溪洛渡_弃水流量(m³/s),溪洛渡-向家坝区间来水(m³/s),向家坝_入库流量(m³/s),向家坝_出库流量(m³/s),向家坝_水位(m),向家坝_出力(MW),向家坝_发电量(万kWh),向家坝_发电流量(m³/s),向家坝_弃水流量(m³/s),向家坝-三峡区间来水(m³/s),三峡_入库流量(m³/s),三峡_出库流量(m³/s),三峡_水位(m),三峡_出力(MW),三峡_发电量(万kWh),三峡_发电流量(m³/s),三峡_弃水流量(m³/s),三峡-葛洲坝区间来水(m³/s),葛洲坝_出库流量(m³/s),葛洲坝_水位(m),葛洲坝_出力(MW),葛洲坝_发电量(万kWh),葛洲坝_发电流量(m³/s),葛洲坝_弃水流量(m³/s)
11,1216,1160.0,959.19,1417.24,34489.87,1160.0,0.0,0,1160.0,1586.0,792.44,2829.13,68849.73,1586.0,0.0,634,2220.0,2228.22,585.8,4025.28,97959.14,2228.22,0.0,30,2258.22,2055.48,379.5,1950.32,47463.07,2055.48,0.0,4910,6965.48,5221.45,167.48,4591.61,111741.39,5221.45,0.0,400.0,5509.5,65.97,1176.44,28629.75,5509.5,0.0
12,2015,1160.0,966.14,1454.06,35385.9,1160.0,0.0,0,1160.0,1260.0,791.94,2244.24,54615.76,1260.0,0.0,-111,1149.0,1783.04,581.21,3197.14,77805.53,1783.04,0.0,10,1793.04,1998.49,377.62,1897.64,46181.05,1998.49,0.0,6640,8638.49,5000.0,170.91,4507.7,109699.44,5000.0,0.0,330.0,5558.82,63.0,1148.38,27947.06,5558.82,0.0
13,1774,1289.68,970.0,1671.17,40669.63,1289.68,0.0,0,1289.68,1907.78,788.76,3336.06,81186.35,1907.78,0.0,-135,1772.78,2033.78,579.28,3583.91,87218.07,2033.78,0.0,-30,2003.78,1798.33,379.5,1712.68,41679.86,1798.33,0.0,4770,6568.33,7562.35,170.0,6886.12,167580.65,7562.35,0.0,210.0,7506.94,66.4,1504.78,36620.21,7506.94,0.0
14,2260,2412.75,968.78,3092.03,75247.76,2412.75,0.0,0,2412.75,1428.79,793.77,2527.33,61505.1,1428.79,0.0,-496,932.79,2376.68,568.03,4041.81,98361.47,2376.68,0.0,-90,2286.68,2329.92,379.11,2216.91,53950.7,2329.92,0.0,4830,7159.92,7726.86,169.47,6987.99,170059.8,7726.86,0.0,210.0,7928.55,66.5,1693.87,41222.01,7928.55,0.0
15,2637,3210.93,964.2,3988.94,97074.79,3210.93,0.0,0,3210.93,4278.39,788.31,7318.59,178105.28,4278.39,0.0,188,4466.39,2925.14,580.0,4957.35,120642.1,2925.14,0.0,-90,2835.14,2791.9,379.5,2640.72,64264.59,2791.9,0.0,6330,9121.9,21980.83,155.0,18095.36,440368.73,21980.83,0.0,300.0,22280.83,66.5,2715.0,66072.24,16416.01,5864.81
16,3364,3744.43,961.17,4498.46,109474.6,3744.43,0.0,0,3744.43,4218.8,785.73,7076.08,172203.51,4218.8,0.0,73,4291.8,4532.83,578.2,7764.83,188964.81,4532.83,0.0,-80,4452.83,4452.83,379.5,4147.51,100933.8,4452.83,0.0,7970,12422.83,17228.79,148.0,12736.92,309965.57,17228.79,0.0,500.0,17834.09,65.24,2715.0,66072.24,15655.22,2178.87
17,4065,5427.23,948.31,6016.38,146414.6,5427.23,0.0,0,5427.23,6688.02,778.77,10706.47,260552.68,6688.02,0.0,220,6908.02,6667.0,580.0,11229.06,273270.34,6667.0,0.0,-130,6537.0,6537.0,379.5,5983.51,145614.68,6537.0,0.0,13720,20257.0,20257.0,148.0,14278.28,347476.2,20257.0,0.0,900.0,21064.44,66.35,2715.0,66072.24,16659.06,4405.37
18,6217,5852.99,952.0,6224.99,151491.4,5852.99,0.0,0,5852.99,4725.52,785.0,7685.49,187034.18,4725.52,0.0,1131,5856.52,8347.72,560.0,13243.32,322289.41,8347.72,0.0,-80,8267.72,8354.03,378.71,6400.0,155750.4,7111.3,1242.73,23430,31784.03,31784.03,148.0,21832.84,531323.92,31784.03,0.0,1400.0,33171.29,66.5,2715.0,66072.24,19753.4,13417.9
19,4615,4348.8,954.5,4835.73,117682.21,4348.8,0.0,0,4348.8,3889.31,787.5,6517.54,158610.78,3889.31,0.0,1006,4895.31,4784.55,560.96,7422.16,180625.58,4784.55,0.0,-90,4694.55,4693.36,378.73,4330.82,105394.93,4693.36,0.0,28470,33163.36,23367.47,161.26,17678.72,430229.39,23367.47,0.0,1200.0,24592.84,66.2,2715.0,66072.24,17209.57,7383.27
20,5970,6054.75,953.7,6625.48,161237.73,6054.75,0.0,0,6054.75,2608.1,804.52,4646.97,113088.68,2608.1,0.0,1223,3831.1,2147.84,574.73,3554.63,86505.5,2147.84,0.0,60,2207.84,2122.72,379.5,2021.97,49206.63,2122.72,0.0,34180,36302.72,32936.23,165.0,22500.0,547560.0,27659.25,5276.98,1700.0,34884.58,63.0,2715.0,66072.24,22964.91,11919.67
21,10098,10913.48,945.3,10200.0,248227.2,10181.65,731.83,0,10913.48,6265.57,824.5,11787.11,286851.2,6265.57,0.0,760,7025.57,7833.25,568.33,12574.0,306000.86,7833.25,0.0,200,8033.25,8033.25,379.5,6400.0,155750.4,7069.53,963.72,27000,35033.25,39042.08,160.5,22500.0,547560.0,28144.95,10897.13,1800.0,40568.36,66.5,2715.0,66072.24,25081.49,15486.87
22,9194,7063.26,965.14,7705.53,187521.83,7063.26,0.0,0,7063.26,8837.65,817.23,16000.0,389376.0,8429.63,408.02,522,9359.65,7812.92,580.31,12728.62,309763.71,7812.92,0.0,210,8022.92,8024.35,379.49,6400.0,155750.4,7069.51,954.83,21440,29464.35,28672.21,161.43,22500.0,547560.0,28043.24,628.97,1600.0,30439.12,64.45,2715.0,66072.24,20023.3,10415.81
23,10530,10121.42,968.4,10200.0,248227.2,8825.15,1296.27,0,10121.42,8346.92,824.5,15900.82,386962.31,8346.92,0.0,-3,8343.92,9452.94,571.84,13860.0,337296.96,8521.08,931.87,490,9942.94,9941.51,379.5,6400.0,155750.4,7159.4,2782.11,38890,48831.51,45614.82,165.0,22500.0,547560.0,28446.43,17168.39,1700.0,47147.91,66.5,2715.0,66072.24,26404.54,20743.37
24,8780,8648.42,969.45,10200.0,248227.2,8574.58,73.84,0,8648.42,9639.11,820.54,16000.0,389376.0,8417.21,1221.89,1213,10852.11,8336.9,590.36,13860.0,337296.96,8245.39,91.51,600,8936.9,9009.73,378.84,6400.0,155750.4,7138.42,1871.31,25000,34009.73,34009.73,165.0,22500.0,547560.0,27191.7,6818.03,2300.0,36309.73,66.5,2715.0,66072.24,20652.96,15656.77
25,7057,6327.09,974.5,7860.65,191296.67,6327.09,0.0,0,6327.09,9981.71,804.53,16000.0,389376.0,8834.03,1147.68,1423,11404.71,10104.06,599.07,13860.0,337296.96,7793.75,2310.31,110,10214.06,10141.23,379.5,6400.0,155750.4,7190.82,2950.41,16280,26421.23,26421.23,165.0,22194.33,540121.34,26421.23,0.0,2000.0,28421.23,66.5,2715.0,66072.24,18202.34,10218.89
26,11327,12483.44,966.05,10200.0,248227.2,8757.03,3726.41,0,12483.44,7838.13,824.5,14565.73,354471.6,7838.13,0.0,1875,9713.13,9647.24,599.5,13860.0,337296.96,7607.83,2039.4,500,10147.24,10599.61,375.29,6400.0,155750.4,7337.86,3261.75,15300,25899.61,25899.61,165.0,21776.93,529963.25,25899.61,0.0,1800.0,27699.61,66.5,2715.0,66072.24,17984.78,9714.83
27,8037,6880.56,974.5,8401.36,204455.59,6880.56,0.0,0,6880.56,6880.56,824.5,13466.44,327719.32,6880.56,0.0,1656,8536.56,8536.56,599.5,13860.0,337296.96,7552.17,984.4,320,8856.56,8404.19,379.5,6400.0,155750.4,7230.64,1173.55,17060,25464.19,20394.75,170.0,17751.77,432007.1,20394.75,0.0,1900.0,22294.75,66.5,2715.0,66072.24,16419.89,5874.86
28,5951,5951.0,974.5,7552.41,183795.51,5951.0,0.0,0,5951.0,5951.0,824.5,11728.0,285412.63,5951.0,0.0,1256,7207.0,7207.0,599.5,13339.11,324620.57,7207.0,0.0,140,7347.0,7347.0,379.5,6400.0,155750.4,7035.08,311.92,21140,28487.0,28487.0,170.0,22500.0,547560.0,25584.69,2902.31,1400.0,30087.77,64.0,2715.0,66072.24,20183.16,9904.61
29,4830,4830.0,974.5,6208.44,151088.59,4830.0,0.0,0,4830.0,4830.0,824.5,9597.73,233570.29,4830.0,0.0,1055,5885.0,5885.0,599.5,10991.32,267484.68,5885.0,0.0,60,5945.0,5945.0,379.5,5466.88,133041.89,5945.0,0.0,16050,21995.0,16908.31,174.5,15491.41,376998.92,16908.31,0.0,1400.0,18107.54,66.5,2715.0,66072.24,16229.9,1877.63
30,4519,4519.0,974.5,5829.59,141868.87,4519.0,0.0,0,4519.0,6123.6,817.95,11882.32,289168.19,6123.6,0.0,846,6969.6,6969.6,599.5,12920.6,314435.63,6969.6,0.0,-40,6929.6,6929.6,379.5,6323.86,153897.53,6929.6,0.0,11600,18529.6,18529.6,174.5,17283.29,420606.16,18529.6,0.0,800.0,19329.6,66.5,2715.0,66072.24,15595.25,3734.34
31,3922,3922.0,974.5,5094.94,123990.56,3922.0,0.0,0,3922.0,2317.4,824.5,4639.69,112911.61,2317.4,0.0,556,2873.4,2873.4,599.5,5494.48,133713.7,2873.4,0.0,-70,2803.4,2803.4,379.5,2655.93,64634.72,2803.4,0.0,8040,10843.4,10843.4,174.5,10220.21,248719.08,10843.4,0.0,500.0,11343.4,66.5,2279.57,55475.58,11343.4,0.0
32,2612,2891.32,972.6,3781.32,92022.29,2891.32,0.0,0,2891.32,2891.32,824.5,5834.77,141994.84,2891.32,0.0,661,3552.32,3867.67,597.44,7299.1,177630.97,3867.67,0.0,-80,3787.67,3790.51,379.47,3552.8,86460.94,3790.51,0.0,5890,9680.51,9680.51,174.5,9135.37,222318.3,9680.51,0.0,200.0,9880.51,66.5,2039.46,49632.21,9880.51,0.0
33,2033,1753.68,974.5,2333.5,56788.11,1753.68,0.0,0,1753.68,1753.68,824.5,3582.63,87186.98,1753.68,0.0,130,1883.68,1615.32,599.2,3103.09,75516.83,1615.32,0.0,0,1615.32,1882.77,377.01,1785.82,43459.65,1882.77,0.0,5090,6972.77,6972.77,174.5,6592.0,160423.03,6972.77,0.0,50.0,7203.24,64.27,1494.52,36370.62,7203.24,0.0
34,1998,1998.0,974.5,2663.37,64815.7,1998.0,0.0,0,1998.0,1998.0,824.5,4069.06,99024.67,1998.0,0.0,49,2047.0,2000.01,599.5,3850.3,93700.93,2000.01,0.0,20,2020.01,1749.72,379.5,1663.27,40477.33,1749.72,0.0,5430,7179.72,7179.72,174.5,6786.4,165153.82,7179.72,0.0,60.0,7059.25,66.5,1468.71,35742.42,7059.25,0.0
35,1700,1700.0,974.5,2277.93,55435.63,1700.0,0.0,0,1700.0,1700.0,824.5,3475.34,84575.89,1700.0,0.0,267,1967.0,1967.0,599.5,3790.09,92235.65,1967.0,0.0,-20,1947.0,2137.86,377.75,2027.12,49332.08,2137.86,0.0,5520,7657.86,7657.86,174.5,7235.88,176092.27,7657.86,0.0,150.0,7884.54,65.59,1658.54,40362.18,7884.54,0.0
36,1959,1959.0,974.5,2613.16,63593.83,1959.0,0.0,0,1959.0,1959.0,824.5,3991.62,97140.11,1959.0,0.0,-22,1937.0,1937.0,599.5,3732.99,90845.98,1937.0,0.0,-30,1907.0,1716.14,379.5,1637.68,39854.54,1716.14,0.0,5100,6816.14,6816.14,174.5,6444.36,156829.89,6816.14,0.0,120.0,6859.46,66.5,1471.08,35800.23,6859.46,0.0
