旬,乌东德_入库流量(m³/s),乌东德_出库流量(m³/s),乌东德_水位(m),乌东德_出力(MW),乌东德_发电量(万kWh),乌东德_发电流量(m³/s),乌东德_弃水流量(m³/s),乌东德-白鹤滩区间来水(m³/s),白鹤滩_入库流量(m³/s),白鹤滩_出库流量(m³/s),白鹤滩_水位(m),白鹤滩_出力(MW),白鹤滩_发电量(万kWh),白鹤滩_发电流量(m³/s),白鹤滩_弃水流量(m³/s),白鹤滩-溪洛渡区间来水(m³/s),溪洛渡_入库流量(m³/s),溪洛渡_出库流量(m³/s),溪洛渡_水位(m),溪洛渡_出力(MW),溪洛渡_发电量(万kWh),溪洛渡_发电流量(m³/s),溪洛渡_弃水流量(m³/s),溪洛渡-向家坝区间来水(m³/s),向家坝_入库流量(m³/s),向家坝_出库流量(m³/s),向家坝_水位(m),向家坝_出力(MW),向家坝_发电量(万kWh),向家坝_发电流量(m³/s),向家坝_弃水流量(m³/s),向家坝-三峡区间来水(m³/s),三峡_入库流量(m³/s),三峡_出库流量(m³/s),三峡_水位(m),三峡_出力(MW),三峡_发电量(万kWh),三峡_发电流量(m³/s),三峡_弃水流量(m³/s),三峡-葛洲坝区间来水(m³/s),葛洲坝_出库流量(m³/s),葛洲坝_水位(m),葛洲坝_出力(MW),葛洲坝_发电量(万kWh),葛洲坝_发电流量(m³/s),葛洲坝_弃水流量(m³/s)
1,2024,2830.68,968.84,3660.05,89070.88,2830.68,0.0,0,2830.68,2830.68,824.5,5715.96,139103.53,2830.68,0.0,276,3106.68,5066.47,586.2,9233.74,224712.3,5066.47,0.0,-10,5056.47,5780.16,372.66,5154.35,125436.27,5780.16,0.0,4300,10080.16,18627.75,166.67,16751.48,407663.92,18627.75,0.0,170.0,18797.91,66.5,2715.0,66072.24,15450.12,3347.8
2,1760,2204.77,965.29,2790.85,67918.2,2204.77,0.0,0,2204.77,3327.21,820.02,6625.3,161233.32,3327.21,0.0,-173,3154.21,2366.09,591.7,4331.85,105419.89,2366.09,0.0,0,2366.09,1716.36,378.83,1595.86,38836.75,1716.36,0.0,4280,5996.36,9941.28,162.44,8538.86,207801.67,9941.28,0.0,190.0,10297.35,64.46,2019.95,49157.48,10297.35,0.0
3,1280,1337.41,964.84,1697.09,41300.47,1337.41,0.0,0,1337.41,2211.77,816.27,4375.12,106473.01,2211.77,0.0,644,2855.77,1684.1,599.5,3194.91,77751.28,1684.1,0.0,20,1704.1,1710.33,378.77,1634.8,39784.58,1710.33,0.0,3810,5520.33,11540.38,155.0,9321.6,226850.55,11540.38,0.0,130.0,11656.71,64.64,2136.0,51981.82,11656.71,0.0
4,1262,2529.73,953.79,3019.51,73482.74,2529.73,0.0,0,2529.73,4396.64,808.14,8304.52,202098.79,4396.64,0.0,767,5163.64,5340.98,598.35,9989.32,243100.04,5340.98,0.0,20,5360.98,5712.63,375.49,5147.78,125276.42,5712.63,0.0,3940,9652.63,5463.51,160.31,4387.99,106786.24,5463.51,0.0,120.0,5607.36,64.32,1157.19,28161.45,5607.36,0.0
5,1381,900.0,958.3,1081.52,26319.8,900.0,0.0,0,900.0,1699.44,804.45,3211.25,78148.96,1699.44,0.0,791,2490.44,3055.94,594.6,5755.83,140073.88,3055.94,0.0,-20,3035.94,2643.58,379.14,2460.41,59876.54,2643.58,0.0,4510,7153.58,5544.4,162.19,4622.06,112482.34,5544.4,0.0,140.0,5533.3,66.2,1180.32,28724.25,5533.3,0.0
6,1338,1252.91,959.1,1525.08,37114.37,1252.91,0.0,0,1252.91,1469.14,803.45,2755.63,67061.1,1469.14,0.0,896,2365.14,2419.4,594.24,4539.82,110481.02,2419.4,0.0,-60,2359.4,2319.92,379.5,2208.02,53734.43,2319.92,0.0,4640,6959.92,5221.11,164.12,4438.61,108018.02,5221.11,0.0,190.0,5505.29,65.07,1192.52,29021.07,5505.29,0.0
7,1375,2131.28,952.0,2492.24,60651.05,2131.28,0.0,0,2131.28,1888.98,804.57,3523.46,85746.86,1888.98,0.0,846,2734.98,1937.88,599.5,3691.34,89832.43,1937.88,0.0,-60,1877.88,2056.93,377.86,1953.58,47542.41,2056.93,0.0,5130,7186.93,5268.62,166.15,4567.33,111150.47,5268.62,0.0,240.0,5500.0,65.18,1167.55,28413.51,5500.0,0.0
8,1342,1160.0,953.71,1357.33,33031.88,1160.0,0.0,0,1160.0,1423.0,803.36,2670.93,64999.73,1423.0,0.0,804,2227.0,5108.77,579.5,9162.26,222972.75,5108.77,0.0,-40,5068.77,5780.98,371.0,5073.91,123478.56,5780.98,0.0,5190,10970.98,5000.0,171.81,4498.52,109476.1,5000.0,0.0,240.0,5500.0,61.65,1087.55,26466.65,5500.0,0.0
9,1497,1160.0,956.87,1381.35,33616.65,1160.0,0.0,0,1160.0,2878.8,795.06,5191.45,126339.05,2878.8,0.0,816,3694.8,1200.0,596.97,2204.07,53638.15,1200.0,0.0,-60,1140.0,1700.0,365.15,1470.29,35781.0,1700.0,0.0,5700,7400.0,9122.72,170.26,8343.01,203035.52,9122.72,0.0,280.0,9031.86,66.5,1707.44,41552.3,9031.86,0.0
10,1351,1160.0,958.67,1405.8,34211.57,1160.0,0.0,0,1160.0,1260.0,794.57,2272.31,55298.86,1260.0,0.0,639,1899.0,3520.71,585.86,6453.06,157041.63,3520.71,0.0,0,3520.71,2272.18,377.64,2010.96,48938.78,2272.18,0.0,6600,8872.18,13538.48,165.72,11972.75,291368.94,13538.48,0.0,390.0,14085.34,64.58,2577.43,62724.24,14085.34,0.0
