出库流量,下游水位
45900,70.23
46000,70.25
46100,70.27
46200,70.3
46300,70.32
46400,70.34
46500,70.36
46600,70.39
46700,70.41
46800,70.43
46900,70.46
47000,70.48
47100,70.5
47200,70.52
47300,70.55
47400,70.57
47500,70.59
47600,70.61
47700,70.63
47800,70.66
47900,70.68
48000,70.7
48100,70.72
48200,70.75
48300,70.77
48400,70.79
48500,70.82
48600,70.84
48700,70.86
48800,70.89
48900,70.91
49000,70.93
49100,70.95
49200,70.97
49300,71
49400,71.02
49500,71.04
49600,71.06
49700,71.08
49800,71.11
49900,71.13
50000,71.15
50100,71.17
50200,71.19
50300,71.22
50400,71.24
50500,71.26
50600,71.28
50700,71.3
50800,71.33
50900,71.35
51000,71.37
51100,71.39
51200,71.41
51300,71.43
51400,71.46
51500,71.48
51600,71.5
51700,71.52
51800,71.54
51900,71.56
52000,71.58
52100,71.6
52200,71.62
52300,71.65
52400,71.67
52500,71.69
52600,71.71
52700,71.73
52800,71.76
52900,71.78
53000,71.8
53100,71.82
53200,71.84
53300,71.86
53400,71.88
53500,71.9
53600,71.93
53700,71.95
53800,71.97
53900,71.99
54000,72.01
54100,72.03
54200,72.05
54300,72.08
54400,72.1
54500,72.12
54600,72.14
54700,72.16
54800,72.19
54900,72.21
55000,72.23
55100,72.25
55200,72.27
55300,72.29
55400,72.31
55500,72.34
55600,72.36
55700,72.38
55800,72.4
55900,72.42
56000,72.44
56100,72.46
56200,72.48
56300,72.51
56400,72.53
56500,72.55
56600,72.57
56700,72.59
56800,72.62
56900,72.64
57000,72.66
57100,72.68
57200,72.7
57300,72.72
57400,72.74
57500,72.76
57600,72.79
57700,72.81
57800,72.83
57900,72.85
58000,72.87
58100,72.89
58200,72.91
58300,72.94
58400,72.96
58500,72.98
58600,73
58700,73.03
58800,73.05
58900,73.07
59000,73.09
59100,73.11
59200,73.13
59300,73.15
59400,73.17
59500,73.2
59600,73.22
59700,73.24
59800,73.26
59900,73.28
60000,73.3
60100,73.32
60200,73.34
60300,73.36
60400,73.38
60500,73.4
60600,73.43
60700,73.45
60800,73.47
60900,73.49
61000,73.51
61100,73.53
61200,73.55
61300,73.58
61400,73.6
61500,73.62
61600,73.64
61700,73.66
61800,73.69
61900,73.71
62000,73.73
62100,73.75
62200,73.77
62300,73.79
62400,73.81
62500,73.84
62600,73.86
62700,73.88
62800,73.9
62900,73.92
63000,73.94
63100,73.96
63200,73.98
63300,74
63400,74.02
63500,74.04
63600,74.07
63700,74.09
63800,74.11
63900,74.13
64000,74.15
64100,74.17
64200,74.19
64300,74.22
64400,74.24
64500,74.26
64600,74.28
64700,74.3
64800,74.33
64900,74.35
65000,74.37
65100,74.39
65200,74.41
65300,74.43
65400,74.45
65500,74.48
65600,74.5
65700,74.52
65800,74.54
65900,74.56
66000,74.58
66100,74.6
66200,74.62
66300,74.64
66400,74.66
66500,74.68
66600,74.71
66700,74.73
66800,74.75
66900,74.77
67000,74.79
67100,74.81
67200,74.83
67300,74.85
67400,74.87
67500,74.9
67600,74.92
67700,74.94
67800,74.96
67900,74.98
68000,75
68100,75.02
68200,75.04
68300,75.07
68400,75.09
68500,75.11
68600,75.13
68700,75.15
68800,75.18
68900,75.2
69000,75.22
69100,75.24
69200,75.26
69300,75.28
69400,75.3
69500,75.32
69600,75.35
69700,75.37
69800,75.39
69900,75.41
70000,75.43
70100,75.45
70200,75.47
70300,75.49
70400,75.51
70500,75.54
70600,75.56
70700,75.58
70800,75.6
70900,75.62
71000,75.64
71100,75.66
71200,75.68
71300,75.7
71400,75.72
71500,75.74
71600,75.76
71700,75.78
71800,75.8
71900,75.82
72000,75.84
72100,75.86
72200,75.88
72300,75.9
72400,75.92
72500,75.94
72600,75.97
72700,75.99
72800,76.01
72900,76.03
73000,76.05
73100,76.07
73200,76.09
73300,76.11
73400,76.13
73500,76.16
73600,76.18
73700,76.2
73800,76.22
73900,76.24
74000,76.26
74100,76.28
74200,76.3
74300,76.32
74400,76.34
74500,76.36
74600,76.39
74700,76.41
74800,76.43
74900,76.45
75000,76.47
75100,76.49
75200,76.51
75300,76.53
75400,76.55
75500,76.57
75600,76.59
75700,76.61
75800,76.63
75900,76.65
76000,76.67
76100,76.69
76200,76.71
76300,76.73
76400,76.75
76500,76.78
76600,76.8
76700,76.82
76800,76.84
76900,76.86
77000,76.88
77100,76.9
77200,76.92
77300,76.94
77400,76.96
77500,76.98
77600,77.01
77700,77.03
77800,77.05
77900,77.07
78000,77.09
78100,77.11
78200,77.13
78300,77.15
78400,77.17
78500,77.19
78600,77.21
78700,77.23
78800,77.25
78900,77.27
79000,77.29
79100,77.31
79200,77.33
79300,77.35
79400,77.37
79500,77.4
79600,77.42
79700,77.44
79800,77.46
79900,77.48
80000,77.5
80100,77.52
80200,77.54
80300,77.56
80400,77.58
80500,77.6
80600,77.63
80700,77.65
80800,77.67
80900,77.69
81000,77.71
81100,77.73
81200,77.75
81300,77.77
81400,77.79
81500,77.82
81600,77.84
81700,77.86
81800,77.88
81900,77.9
82000,77.92
82100,77.94
82200,77.96
82300,77.98
82400,78
82500,78.02
82600,78.04
82700,78.06
82800,78.08
82900,78.1
83000,78.12
83100,78.14
83200,78.16
83300,78.18
83400,78.2
83500,78.22
83600,78.25
83700,78.27
83800,78.29
83900,78.31
84000,78.33
84100,78.35
84200,78.37
84300,78.39
84400,78.41
84500,78.44
84600,78.46
84700,78.48
84800,78.5
84900,78.52
85000,78.54
85100,78.56
85200,78.58
85300,78.6
85400,78.62
85500,78.64
85600,78.67
85700,78.69
