出库流量,下游水位
900,581.55
1500,583.38
2000,584.91
3000,587.35
4000,589.32
5000,591.01
6000,592.73
8000,596.17
10000,599.49
12500,603.08
15000,606.33
17500,609.26
20000,611.81
25000,616.76
30000,621.25
35000,624.99
46100,632.5
