出库流量,下游水位
1000,814.67
1500,816.31
2000,817.68
2500,818.82
3000,819.93
3500,820.9
3850,821.54
4500,822.7
5500,824.45
6500,826.1
8000,828.17
10000,830.67
12000,832.8
14500,835.09
18500,838.48
21100,840.54
23600,842.46
24400,843.08
24900,843.46
26600,844.74
28800,846.36
30900,847.86
32200,848.73
33700,849.73
35800,851.06
42400,855.12
